Geneid	Neg1	Neg2	Neg3	Pos1	Pos2	Pos3
RP11-58A11.2	4	12	5	4	7	8
TAS1R1	1	3	1	1	1	4
ZBTB48	243	191	179	224	222	177
KLHL21	280	209	168	240	185	126
PHF13	198	276	233	201	195	237
THAP3	292	349	302	429	429	369
DNAJC11	1683	1521	1227	1805	1512	1088
RP11-242F24.1	0	0	0	1	0	0
RP11-312B8.1	4	3	0	6	5	1
CAMTA1	2128	2617	2489	2481	1689	2145
RP11-312B8.2	2	2	0	1	1	1
RP11-334N17.1	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0
Z98052.1	0	0	0	0	0	0
CAMTA1-IT1	0	4	1	4	1	2
RP3-453P22.2	0	0	0	0	0	0
RP4-549F15.1	0	0	0	0	0	0
RP11-338N10.1	0	0	1	0	1	0
RP11-338N10.2	3	1	0	0	0	0
RP11-338N10.3	2	5	4	1	0	1
VAMP3	3271	4153	3314	5848	4476	4384
RP3-467L1.6	12	13	13	19	13	14
PER3	74	64	65	115	93	67
RP3-467L1.4	1	2	0	5	3	1
UTS2	43	42	45	181	90	104
TNFRSF9	277	123	143	86	76	161
RP5-892F13.2	1	0	0	0	0	1
PARK7	15449	18778	14730	19928	18231	15987
Y_RNA	775	722	564	634	554	730
ERRFI1	956	1000	829	1546	1163	970
RP11-431K24.1	0	1	1	7	1	4
CTA-215D11.4	3	0	1	0	0	1
RP11-431K24.2	0	0	0	0	0	0
RNU1-7P	0	0	0	0	0	0
RP11-431K24.3	0	0	0	0	0	0
RP11-431K24.4	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0
SLC45A1	2	0	2	12	2	9
RERE	723	724	598	711	650	646
RP5-1115A15.1	4	1	0	3	3	4
SNORA77	15	9	9	7	11	8
RP5-1115A15.2	6	0	2	2	4	5
AL096855.1	1	0	0	1	0	0
RPL7P11	2	8	5	6	3	6
RPL7P7	13	11	5	4	2	16
RP4-633I8.3	7	15	6	5	5	11
RP4-633I8.4	104	75	64	46	96	86
RPL23AP19	1	2	0	0	0	3
ENO1	119331	146409	143216	159586	201876	180860
MIR6728	0	1	1	0	2	0
ENO1-IT1	24	29	32	17	18	20
ENO1-AS1	8	4	5	7	1	4
RNU6-304P	0	0	0	0	0	0
HMGN2P17	9	8	9	11	5	13
RP3-477M7.5	4	3	2	4	1	8
RP3-477M7.6	0	2	0	1	0	0
CA6	0	0	1	0	0	0
RN7SL451P	0	0	0	0	0	0
SLC2A7	1	0	0	0	0	1
SLC2A5	0	0	1	1	3	0
SCARNA16	1	1	4	1	3	3
AL158048.1	0	0	0	0	0	0
GPR157	78	113	99	90	53	103
MIR34A	0	0	0	0	1	0
RP3-510D11.1	0	1	3	1	1	0
RP3-510D11.2	15	9	20	27	29	30
RP3-510D11.4	0	0	0	0	0	3
H6PD	202	288	218	308	424	357
SPSB1	43	54	26	89	59	40
RNA5SP40	0	0	0	0	0	0
RP13-392I16.1	0	0	0	0	0	0
SLC25A33	158	179	133	191	108	125
RP13-15M17.1	14	11	5	7	7	9
TMEM201	160	132	113	176	136	114
PIK3CD	50	34	50	21	29	37
PIK3CD-AS1	0	0	0	0	0	0
RP11-558F24.2	0	0	0	0	0	0
PIK3CD-AS2	58	67	57	45	31	70
CLSTN1	272	260	195	316	286	272
MZT1P1	2	0	1	3	3	3
AL357140.1	0	0	3	1	1	0
CTNNBIP1	84	109	93	84	108	110
RP11-84A14.5	0	0	0	0	0	0
LZIC	1272	1653	1394	1906	1394	1565
RP11-84A14.4	17	17	14	20	22	12
NMNAT1	356	434	348	386	473	401
RN7SKP269	5	1	0	4	13	11
MIR5697	1	1	0	1	2	1
RP11-807G9.2	0	0	0	0	0	0
RBP7	26	29	27	10	7	7
UBE4B	2038	2214	1687	2017	1987	1675
RP11-496H15.2	1	1	1	0	2	2
PGAM1P11	4	3	2	2	2	4
RNU6-828P	1	2	3	4	2	6
KIF1B	1232	1265	1113	1079	1361	1085
MIR1273D	0	0	0	0	0	0
RNU6-37P	3	2	2	1	2	7
RN7SL731P	0	0	0	0	0	0
PGD	10760	11052	8953	13118	14589	8471
RP4-736L20.3	2	0	0	0	0	0
APITD1-CORT	13	4	9	5	5	2
APITD1	189	205	193	260	83	167
CORT	4	4	6	7	4	5
DFFA	6492	6371	5290	4473	6044	4073
RP5-1113E3.3	0	0	0	0	0	0
PEX14	222	165	163	220	204	134
RN7SL614P	0	0	0	0	1	1
CASZ1	25	25	21	13	13	19
RP4-734G22.3	4	2	0	0	2	5
HSPE1P24	0	0	0	0	0	1
C1orf127	0	1	0	0	0	0
CFL1P6	0	0	0	0	0	2
AL713997.1	0	0	0	0	0	0
TARDBP	10996	9878	8474	11302	10750	7420
MASP2	11	8	9	9	13	5
RP4-635E18.8	156	269	255	348	333	294
SRM	407	440	272	533	437	311
EXOSC10	5283	5712	4134	6253	6208	4699
RP4-635E18.7	2	7	10	5	5	3
RP4-635E18.6	10	6	5	16	7	1
MTOR	1182	1192	1054	1251	1397	827
MTOR-AS1	0	1	1	3	2	2
RNU6-537P	0	0	0	0	0	0
ANGPTL7	1	1	0	2	1	2
RNU6-291P	0	0	0	0	1	0
RPL39P6	1	0	1	0	0	1
UBIAD1	646	527	459	711	542	408
UBE2V2P3	8	7	2	5	3	7
RP11-149P14.1	0	0	0	0	0	0
PTCHD2	13	5	9	9	3	9
RP1-69M21.2	0	0	0	0	0	1
FBXO2	17	32	25	8	12	21
FBXO44	162	129	158	95	135	143
FBXO6	52	56	52	51	85	44
MAD2L2	1096	944	1170	911	804	821
DRAXIN	210	166	207	88	150	117
AGTRAP	1401	1318	1306	1191	1626	990
C1orf167	1	0	0	0	0	0
RP11-56N19.5	0	0	0	0	0	0
MTHFR	260	252	202	280	331	220
CLCN6	569	702	545	884	911	617
NPPA-AS1	16	21	7	36	18	24
NPPA-AS1_1	0	0	0	0	0	0
NPPA-AS1_2	0	0	0	0	0	0
NPPA	29	26	11	25	25	22
NPPA-AS1_3	0	0	0	0	0	0
NPPB	14	2	6	35	5	10
RP5-934G17.6	0	0	0	0	0	0
RNU5E-1	1	4	1	2	0	2
RNU5E-4P	0	1	0	1	1	0
KIAA2013	189	231	196	270	282	245
PLOD1	1878	2308	1767	3065	4569	3294
MFN2	1742	1829	1439	2077	2122	1498
RP5-1077B9.5	1	1	0	1	1	0
MIIP	467	320	313	475	344	295
MIR6729	0	0	0	0	0	0
RN7SL649P	0	2	0	0	1	0
TNFRSF8	20	16	27	11	3	6
RNU6-777P	0	0	2	0	0	0
RPL23AP89	1	0	0	0	0	1
MIR7846	0	0	0	0	0	0
TNFRSF1B	12	25	44	27	59	57
MIR4632	0	0	0	0	0	0
RP5-1118D24.2	0	0	0	0	0	0
SNORA70	33	23	14	13	15	30
VPS13D	393	370	325	361	497	376
AC243836.1	0	0	0	0	0	0
SNORA59A	0	0	0	0	1	0
RP5-888M10.2	0	0	0	0	0	0
DHRS3	1288	1586	921	2613	2907	1787
RNU6ATAC18P	3	1	0	1	1	1
MIR6730	0	0	0	1	0	0
RP11-474O21.5	0	2	1	1	5	3
AADACL4	0	0	0	0	0	0
RP11-474O21.2	0	0	0	0	0	0
AADACL3	2	0	1	0	0	0
C1orf158	2	0	1	1	0	1
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
RP5-845O24.8	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
RP5-845O24.3	0	0	0	0	0	0
HNRNPCL1	4	7	6	4	2	4
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
RNU6-1072P	0	0	0	0	0	0
RP11-450I1.2	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
CH17-409J4.2	0	0	0	0	0	0
WI2-3308P17.2	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0
WI2-2994D6.1	0	0	0	0	0	0
RP13-221M14.4	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0
RP13-221M14.3	0	0	0	0	0	0
RP13-221M14.2	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
RP11-450I1.4	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
RP11-219C24.8	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
RP11-219C24.6	0	0	0	0	0	0
RP11-219C24.10	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	0	1	0	0	0	0
RP4-597A16.2	0	0	0	0	0	0
BRWD1P1	0	0	0	0	0	0
PDPN	586	613	657	7460	3337	2967
RNA5SP41	0	0	0	0	0	0
AL359771.1	0	0	0	0	1	0
CTA-520D8.2	0	0	0	0	0	0
SCARNA11	0	1	0	0	1	0
PRDM2	1302	1242	799	1558	1373	1036
RNU6-1265P	0	0	0	0	0	0
RP11-344F13.1	0	0	0	0	0	0
RP4-704D23.1	3	2	0	1	1	3
KAZN	283	258	194	238	236	206
AL034395.1	0	0	0	0	0	0
TBCAP2	40	22	12	8	9	19
TMEM51-AS1	27	24	27	10	31	24
TMEM51	288	382	278	248	279	280
C1orf195	5	6	4	3	4	6
RP1-21O18.3	7	3	0	5	2	3
RP5-903E17.2	2	0	0	0	2	0
FHAD1	5	9	5	0	4	6
RP3-467K16.2	0	0	1	1	0	0
RP3-467K16.7	0	0	0	0	0	0
RP3-467K16.4	1	1	2	0	7	8
EFHD2	110	129	95	127	85	126
CTRC	2	1	1	0	1	2
CELA2A	0	1	0	2	0	2
CELA2B	0	0	0	1	2	0
CASP9	288	306	253	304	350	273
DNAJC16	1603	1538	1334	1650	1611	1379
SCARNA21	1	1	0	0	1	1
RP4-680D5.8	1	0	2	0	0	0
AGMAT	29	29	37	28	25	18
RP4-680D5.2	6	6	5	6	8	4
CHCHD2P6	2	4	3	4	2	4
RNU7-179P	0	0	0	1	0	0
RP4-680D5.4	0	0	0	0	0	0
DDI2	1135	1050	845	1059	960	740
RSC1A1	0	0	0	0	0	0
RP4-680D5.9	0	0	0	0	0	0
PLEKHM2	109	89	82	108	132	103
AL121992.1	0	0	0	0	0	0
RP11-288I21.1	22	15	10	15	23	19
SLC25A34	13	6	6	13	19	16
RP11-169K16.4	0	2	1	1	1	0
TMEM82	0	0	1	1	0	1
FBLIM1	522	382	323	243	312	294
RP11-169K16.6	3	3	3	2	4	3
UQCRHL	98	180	119	115	74	150
RP11-169K16.8	21	30	14	22	12	19
FLJ37453	65	85	62	96	63	95
SPEN	1081	963	688	985	977	785
RP1-134O19.3	0	1	0	0	0	0
ZBTB17	98	91	69	143	105	81
RP11-5P18.1	2	1	3	5	1	2
RP11-5P18.3	0	0	0	0	0	0
RP11-5P18.11	0	0	0	0	0	0
TBC1D3P6	0	0	0	0	0	0
C1orf64	9	2	11	4	10	8
RP11-5P18.5	0	0	0	0	0	0
HSPB7	0	0	1	0	4	2
CLCNKA	4	3	3	3	2	4
RP11-5P18.10	0	0	0	0	0	0
CLCNKB	3	4	6	2	4	6
FAM131C	0	0	0	0	0	0
EPHA2	385	287	232	396	480	338
RP11-276H7.2	1	0	3	4	3	0
RP11-276H7.3	1	1	0	0	0	0
ARHGEF19-AS1	0	0	0	0	0	0
ARHGEF19	170	121	91	171	177	79
ANO7P1	1	0	2	2	1	1
RSG1	6	2	3	6	6	12
MT1XP1	27	11	22	6	8	12
FBXO42	608	517	511	555	523	595
SZRD1	1557	1579	1166	1928	1857	1223
RP11-430L17.1	2	1	4	2	3	7
SPATA21	12	10	6	6	10	5
AL358794.1	0	0	0	0	0	0
NECAP2	2345	2502	2027	2678	2694	2121
RP4-798A10.2	16	9	12	11	17	8
CROCCP3	54	41	35	51	86	70
RNU1-1	0	0	0	0	0	0
RP4-798A10.7	0	2	0	1	2	2
RP4-798A10.4	5	6	1	1	3	2
RP5-875O13.1	0	0	0	0	0	2
RNU1-6P	0	0	0	0	0	0
FAM231C	0	0	0	0	0	0
RP5-875O13.6	0	0	0	0	0	0
AL355149.1	0	0	0	0	0	0
NBPF1	248	221	163	265	215	204
RP5-1182A14.5	0	0	0	0	0	0
CROCCP2	55	67	42	57	58	55
MST1P2	5	13	12	11	21	13
RP1-163M9.8	0	0	0	0	0	0
RNU1-3	0	0	0	0	0	0
FAM231A	0	0	0	0	0	0
RP5-875O13.7	0	1	0	0	0	0
AL021920.1	0	0	0	0	0	0
EIF1AXP1	32	47	37	47	27	51
ESPNP	0	0	0	0	0	0
RP1-163M9.7	0	0	0	0	0	0
RP5-1182A14.6	0	0	0	0	0	0
RP5-1182A14.7	0	0	0	0	0	0
CROCC	15	18	13	16	18	21
CROCCP4	0	0	1	0	0	0
RNU1-4	0	0	0	0	0	0
MST1L	1	0	2	1	4	5
RP11-108M9.1	0	0	0	0	0	0
RP11-108M9.2	0	0	0	0	0	0
MIR3675	0	0	0	0	0	0
RP11-108M9.3	0	1	0	3	0	0
RNU1-5P	0	0	0	0	0	0
RP11-108M9.4	17	28	29	23	24	22
RP11-108M9.5	6	14	4	10	6	10
RNU1-2	1	0	1	1	1	1
RP11-108M9.6	14	17	8	14	17	16
MFAP2	1699	1524	1497	1684	1955	1783
RP1-37C10.3	0	0	0	0	0	0
ATP13A2	72	39	44	40	53	42
SDHB	3437	3679	3193	4256	4179	2874
PADI2	57	33	69	7	9	26
RP11-380J14.1	0	0	0	0	0	1
PADI1	0	0	0	1	0	1
PADI3	2	4	14	1	4	2
MIR3972	0	0	0	0	0	0
PADI4	2	2	1	1	1	0
AC004824.2	0	0	0	0	0	0
PADI6	0	0	0	0	0	0
RP1-20B21.4	0	0	0	0	0	0
RCC2	1895	1401	967	1412	1826	893
AC004824.1	0	0	0	0	0	0
ARHGEF10L	65	74	67	60	53	50
RP11-473A10.2	0	0	0	0	0	1
AL136529.1	0	0	0	0	0	0
ACTL8	12	4	5	8	4	1
RP11-174G17.2	0	0	0	0	0	0
IGSF21	5	1	2	0	1	0
RP11-174G17.3	10	0	0	0	0	1
RP11-174G17	0	0	0	0	0	0
RP11-422P22.1	1	2	3	2	3	2
KLHDC7A	4	7	8	2	3	0
DYNLL1P3	1	4	0	4	0	0
RP1-8B22.2	0	0	0	0	1	1
PAX7	1	0	2	2	0	0
TAS1R2	0	0	0	0	0	0
RP13-279N23.2	0	0	0	0	0	0
ALDH4A1	96	103	72	85	80	43
MIR4695	0	0	0	0	0	0
MIR1290	0	1	0	1	1	0
IFFO2	40	33	44	52	62	72
RP5-1126H10.2	3	4	2	10	2	4
UBR4	1899	1936	1442	1802	2647	1582
RP1-43E13.2	15	16	6	12	10	10
EMC1	3790	4318	3216	5201	5310	4188
MRTO4	4214	4926	3336	5238	4534	3264
AKR7L	14	13	9	23	12	15
AKR7A3	5	8	3	4	4	2
RP4-657E11.10	34	70	46	56	60	76
AKR7A2	104	108	104	149	107	134
RNU6-1099P	7	7	3	4	3	5
PQLC2	100	92	83	142	121	105
CAPZB	4617	4931	4198	5360	4944	4234
RN7SL277P	2	3	0	0	1	6
RNU4-28P	0	0	0	0	0	0
RP5-1056L3.1	2	0	2	2	1	1
MINOS1	722	799	736	1058	774	625
MINOS1-NBL1	0	0	0	0	0	0
RP5-1056L3.3	43	84	55	66	52	71
NBL1	10	8	9	7	8	7
HTR6	0	0	0	0	0	0
TMCO4	87	49	53	31	19	31
RNF186	0	0	0	0	0	0
RP11-91K11.2	0	0	0	0	0	0
OTUD3	452	492	393	473	606	431
PLA2G2E	0	0	0	0	0	0
RN7SL304P	0	0	0	0	0	0
PLA2G2A	460	780	287	736	675	347
PLA2G5	10	5	6	11	16	12
PLA2G2D	0	0	0	0	1	0
PLA2G2F	2	0	0	0	0	0
RP3-340N1.2	1	0	0	1	1	0
PLA2G2C	1	3	1	1	7	3
UBXN10-AS1	41	28	22	89	61	71
UBXN10	184	200	118	240	211	160
RP3-340N1.6	0	0	0	0	0	0
VWA5B1	1	0	0	2	4	1
RP4-745E8.2	0	0	0	0	1	0
LINC01141	0	0	0	0	0	2
RP4-749H3.2	0	0	0	0	0	0
CAMK2N1	168	181	127	366	171	183
MUL1	867	779	692	934	839	658
RPS4XP4	0	0	0	0	1	0
FAM43B	13	5	11	8	8	10
CDA	448	178	548	50	42	95
PINK1	13	23	19	14	12	17
MIR6084	0	0	0	0	0	0
PINK1-AS	126	118	77	106	137	82
DDOST	12947	13028	11322	13161	21886	12150
KIF17	34	13	21	17	15	13
RP5-930J4.5	2	0	3	1	1	0
SH2D5	25	18	18	15	10	12
RP5-930J4.2	0	0	0	0	0	0
HP1BP3	3273	3211	2782	4369	3492	3572
EIF4G3	2055	2017	1682	2123	1701	1810
RNU7-200P	0	0	0	0	0	0
MIR1256	0	0	0	0	2	0
RPS15AP6	28	25	22	16	14	19
RP11-487E1.2	0	2	0	0	0	2
HSPE1P27	11	11	6	8	4	2
ECE1	400	373	339	547	712	592
RP3-329E20.2	1	1	0	1	4	2
RP5-1071N3.1	22	5	11	23	30	32
PPP1R11P1	0	1	1	2	0	0
RP11-293F5.8	0	0	0	0	0	0
RP11-293F5.1	0	0	0	0	0	0
NBPF2P	4	3	1	0	1	1
HS6ST1P1	0	0	0	0	0	0
CROCCP5	0	0	0	0	0	0
NBPF3	32	18	29	30	20	13
PFN1P10	0	0	0	0	0	0
ALPL	773	399	637	310	290	284
RP11-63N8.3	0	1	0	0	0	0
AL359815.1	0	0	0	0	0	0
RAP1GAP	41	36	46	26	18	26
USP48	1019	976	838	937	742	841
U7	10	7	16	9	2	7
RP11-132G19.3	1	2	0	0	0	2
LDLRAD2	1	0	3	0	1	0
HSPG2	47	37	41	41	66	56
