Geneid	IWPHE1	IWPHE2	IWPHE3	57HED	60HED	67HED	57HER	60HER	67HER	57HPCD	60HPCD	67HPCD	57HPCR	60HPCR	67HPCR
RP11-206L10.1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
RP11-206L10.3	5	3	3	10	3	5	7	6	1	3	4	4	4	4	4
RNU6-1199P	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-206L10.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-206L10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-206L10.2	10	12	7	3	7	9	12	5	2	5	6	11	5	3	2
RP11-206L10.9	24	13	20	12	19	11	8	20	10	13	17	6	16	17	12
RP11-206L10.8	6	5	5	5	3	3	7	4	1	1	0	5	6	12	8
FAM87B	1	2	2	2	2	4	2	1	0	3	3	7	2	2	4
LINC01128	371	341	269	327	314	245	310	267	294	159	229	217	254	247	299
LINC00115	13	18	13	5	9	7	10	13	16	15	14	18	16	16	19
FAM41C	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0
TUBB8P11	1	1	0	0	0	1	0	0	0	0	0	0	2	1	4
RP11-54O7.16	2	4	3	2	1	0	3	0	1	0	1	1	0	2	1
RP11-54O7.1	6	3	4	2	1	2	0	0	1	1	1	1	2	0	1
RP11-54O7.2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
RP11-54O7.3	9	14	13	2	6	5	4	6	3	2	5	8	2	5	13
SAMD11	2	2	1	2	2	0	0	1	0	2	2	0	2	1	2
NOC2L	631	638	572	205	216	222	206	305	200	111	248	190	245	364	220
KLHL17	29	27	29	29	12	6	12	15	17	6	14	10	17	32	13
AL645608.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHN1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
PERM1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.17	1	2	2	14	5	11	13	8	24	0	1	3	2	0	0
HES4	8	5	4	17	3	7	20	4	10	2	0	1	1	1	2
ISG15	842	788	720	370	460	423	298	478	396	153	317	283	354	447	327
RP11-54O7.10	0	1	0	1	3	1	3	1	3	0	0	0	0	0	0
RP11-54O7.11	2	1	4	7	6	5	8	5	2	2	1	0	0	0	2
AGRN	75	78	74	45	33	52	52	65	52	6	6	3	13	3	4
RP11-54O7.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-465B22.3	6	6	11	8	1	13	3	1	9	19	3	16	18	9	12
RP11-54O7.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C1orf159	24	22	20	6	11	10	14	9	13	1	21	14	8	31	17
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-465B22.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	1	1	0	0	0	0	0	3	1	4	6	5	9	4	15
TTLL10	1	1	0	2	0	0	0	1	0	6	9	16	13	17	24
TNFRSF18	0	0	0	0	0	0	0	0	0	3	7	6	9	7	13
TNFRSF4	0	0	1	0	1	1	3	0	0	10	10	11	13	5	14
SDF4	69	78	78	85	69	79	66	69	87	49	92	93	84	86	95
B3GALT6	91	85	81	50	72	60	76	74	67	26	27	40	54	66	61
FAM132A	1	3	3	2	1	0	0	0	1	1	0	0	0	2	4
RP5-902P8.12	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1
UBE2J2	119	97	87	53	86	47	52	81	76	59	80	94	91	74	60
RP5-902P8.10	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	9	3	9	1	2	2	5	3	3	0	6	2	6	1	2
ACAP3	24	22	21	19	8	5	12	6	8	4	13	11	23	17	13
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	91	84	73	18	30	29	23	58	28	11	48	44	43	57	29
CPSF3L	2235	2072	1981	1140	1282	1256	1278	1823	1366	554	1160	1105	1233	1644	1078
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-890O3.9	7	10	8	2	20	12	13	6	7	6	4	4	8	13	6
CPTP	15	16	17	2	4	6	1	7	2	4	5	9	8	13	1
TAS1R3	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1
DVL1	34	14	17	9	9	13	16	6	15	6	11	12	15	12	14
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	184	182	136	71	99	70	68	76	69	21	7	10	8	4	8
AURKAIP1	738	670	638	215	239	185	215	308	243	147	327	284	334	405	310
RP5-890O3.3	1	0	0	0	0	0	0	0	0	0	8	0	4	1	2
CCNL2	3850	3536	3300	1418	1868	1553	1684	2290	1955	854	1379	1256	1413	1904	1305
RP4-758J18.2	534	440	428	255	287	262	257	313	289	361	630	538	594	742	666
MRPL20	1835	1604	1531	1493	1501	1075	1400	1283	1160	1262	1873	1736	1890	1852	2096
RN7SL657P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-758J18.13	13	13	18	7	17	10	5	10	9	10	21	15	19	15	22
ANKRD65	3	5	8	4	4	3	2	0	1	2	0	0	5	2	0
RP4-758J18.7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-758J18.10	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
VWA1	16	8	12	6	1	1	3	6	2	3	6	9	7	9	2
ATAD3C	6	8	4	2	3	2	2	2	2	0	5	1	6	4	6
ATAD3B	32	40	34	16	5	6	7	12	7	9	13	19	19	16	23
ATAD3A	16	17	12	10	7	5	12	13	15	1	9	10	10	15	17
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SSU72	2211	1922	1859	1966	2436	1720	2153	2300	2043	1504	2193	1749	2285	2160	2212
RP5-832C2.5	24	18	12	25	34	37	26	30	23	12	23	18	35	16	29
AL645728.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RP11-345P4.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa_SRP	199	193	183	146	191	164	171	183	180	202	195	189	226	215	186
C1orf233	20	24	15	22	10	8	29	25	8	8	13	14	10	22	8
RP11-345P4.9	53	37	31	64	73	55	57	55	43	22	37	32	38	37	38
MIB2	12	13	19	7	8	7	12	9	17	3	3	16	6	15	14
MMP23B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11B	217	206	179	167	193	157	167	146	157	111	112	132	175	152	139
RP11-345P4.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC35E2B	449	367	370	215	232	271	233	317	239	144	205	232	226	218	261
RP11-345P4.7	8	8	4	11	10	15	5	19	9	10	13	5	4	9	8
RP11-345P4.6	8	4	3	6	5	4	8	4	1	6	0	3	2	6	2
MMP23A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11A	13	20	13	14	15	24	13	19	33	20	14	24	27	14	20
RP1-283E3.8	47	37	43	45	36	30	34	43	35	25	40	36	33	55	50
RP1-283E3.4	111	98	77	45	65	53	59	58	41	29	34	45	51	48	90
SLC35E2	114	89	90	46	55	43	47	60	40	25	49	44	37	44	79
NADK	231	205	192	131	126	94	135	151	111	306	568	334	426	556	342
GNB1	3239	2947	2685	2119	2368	1957	2098	2185	2067	1528	1519	1496	1718	1892	1874
RP1-140A9.1	3	0	2	0	3	1	1	1	0	0	3	2	1	1	0
CALML6	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1
TMEM52	6	5	4	2	0	0	3	2	0	0	1	1	0	4	1
CFAP74	1	2	2	2	0	0	1	0	1	2	3	0	2	6	6
RP11-547D24.1	0	0	0	0	4	2	0	0	0	0	1	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
RP11-547D24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	31	25	32	11	12	6	18	18	17	5	6	8	13	11	4
RP5-892K4.1	1	1	0	4	2	1	2	0	3	7	3	0	0	5	1
RP11-181G12.2	9	5	8	7	3	11	5	9	5	4	0	0	3	4	0
FAAP20	128	90	89	63	61	49	56	66	71	35	44	45	69	72	68
RP11-181G12.4	2	0	0	0	3	0	1	1	0	2	1	0	2	3	1
AL590822.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI	94	83	79	39	44	52	56	66	62	59	40	60	44	66	55
MORN1	95	82	79	72	62	64	68	100	74	27	53	34	59	70	63
RP4-713A8.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
RP4-740C4.5	2	5	2	3	4	5	4	4	4	0	3	4	4	2	3
RP4-740C4.7	15	12	6	12	13	9	24	16	9	8	13	15	7	21	11
RER1	1245	1139	1038	573	727	546	524	715	536	465	875	648	921	904	741
PEX10	19	17	17	7	2	5	7	12	12	4	3	4	5	2	5
PLCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-395M20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-395M20.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	132	112	94	40	33	47	31	52	55	16	55	48	43	68	51
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-395M20.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-395M20.8	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
TNFRSF14	3	2	2	1	2	3	0	0	1	7	4	8	22	26	17
RP3-395M20.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-395M20.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM213B	23	23	21	3	4	3	1	6	4	0	1	2	1	2	0
MMEL1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
RP13-436F16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-740P5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00982	4	1	0	6	2	5	16	9	16	0	0	0	0	0	0
PRDM16	29	25	31	76	69	56	127	64	69	1	0	0	5	1	0
RP1-163G9.2	0	3	4	1	1	0	0	1	1	0	0	0	0	0	0
RP11-193J6.1	2	1	3	5	3	7	9	6	12	0	0	0	0	0	0
RP11-22L13.1	1	1	0	3	4	0	4	0	6	1	0	0	0	0	0
ARHGEF16	57	58	52	9	14	5	10	21	19	1	0	1	3	2	0
RP11-168F9.2	1	3	2	1	1	0	0	0	0	0	0	0	0	0	0
MEGF6	62	43	41	21	24	28	34	22	20	1	0	4	5	6	8
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-46F15.2	0	0	2	0	0	1	0	0	0	0	1	0	4	2	1
TPRG1L	270	252	246	138	150	114	112	126	120	112	85	91	145	146	112
WRAP73	355	325	314	147	186	141	154	192	174	60	164	113	181	186	153
TP73	2	4	2	2	3	3	2	6	2	0	1	2	2	6	1
RP5-1092A11.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1092A11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP73-AS1	257	234	224	183	161	177	191	183	153	94	93	76	117	130	119
CCDC27	2	2	4	3	1	0	1	1	0	3	0	2	1	3	8
SMIM1	27	38	21	13	3	5	10	4	8	47	67	101	147	78	129
LRRC47	441	371	318	262	271	206	274	297	232	203	255	278	349	331	333
RN7SL574P	2	4	5	2	0	1	6	1	2	6	11	21	23	12	16
RP1-286D6.5	3	5	3	1	1	3	1	1	1	1	9	5	12	13	7
CEP104	298	245	257	162	144	147	185	142	151	190	259	187	232	290	244
DFFB	245	222	207	93	139	102	124	147	116	143	233	200	208	278	227
C1orf174	2010	1829	1723	1497	1736	1238	1575	1623	1500	1766	2515	2378	2491	2619	2582
LINC01134	14	11	9	5	11	12	13	8	15	13	39	62	41	59	66
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-614K11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1DP6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1166F10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-37J18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	1	0	2	0	7	0	1	0	0	0	0	0	0	0
AL137795.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-542C10.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-58B11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-154H17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL356693.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	192	134	148	98	124	55	78	104	71	32	39	53	64	84	63
AL356261.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNAB2	20	25	28	17	13	19	14	30	27	255	393	369	373	409	342
CHD5	1	0	0	1	0	1	1	2	0	0	0	0	2	3	1
RPL22	1672	1496	1294	1886	1765	1460	2155	1661	1667	1114	1252	1340	1483	1239	1692
RP1-120G22.11	0	0	1	0	0	0	0	0	0	2	2	6	1	2	9
RNF207	6	14	8	6	5	9	2	5	4	20	10	15	10	22	20
ICMT	440	428	423	210	266	200	269	270	187	251	262	229	299	267	251
LINC00337	23	19	15	16	40	11	11	10	20	15	10	20	16	15	28
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	15	8	10	19	12	5	10	10	4	13	4	15	27	17	22
ACOT7	1647	1496	1401	909	1120	824	732	1095	868	632	820	701	985	968	937
RP1-202O8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES2	1	0	0	0	1	1	0	0	0	1	3	0	1	0	1
ESPN	6	6	4	1	0	0	0	0	0	1	0	1	4	1	0
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-202O8.2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2
TNFRSF25	228	173	156	43	106	157	37	64	97	14	21	37	42	25	42
PLEKHG5	69	54	62	34	30	22	37	30	23	7	9	12	3	28	5
NOL9	1091	1037	972	950	1114	888	1068	918	973	827	908	789	1105	900	1004
RNU6-731P	3	0	2	2	1	1	1	0	1	1	0	0	0	0	5
RP11-58A11.2	5	3	8	1	7	6	7	8	4	8	3	7	6	3	4
TAS1R1	1	1	0	1	1	0	4	0	0	2	0	0	2	0	0
ZBTB48	354	320	318	192	265	183	184	237	230	306	409	400	544	608	479
KLHL21	114	101	90	82	86	108	88	111	97	104	125	173	168	230	171
PHF13	159	188	164	69	73	72	81	73	72	93	92	144	118	132	111
THAP3	466	381	374	237	222	202	234	244	226	194	286	269	292	329	295
DNAJC11	1002	849	825	550	706	607	567	698	721	402	705	630	659	863	728
RP11-242F24.1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-312B8.1	1	1	2	1	0	2	2	1	0	1	2	3	0	4	3
CAMTA1	1702	1499	1414	1241	1245	1040	1282	1157	1225	527	924	883	1149	957	1218
RP11-312B8.2	4	4	2	3	3	4	2	13	5	0	1	1	2	1	0
RP11-334N17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0
Z98052.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-IT1	5	2	3	0	1	0	2	0	0	0	1	1	1	0	2
RP3-453P22.2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-549F15.1	4	0	0	1	0	0	0	3	2	0	0	0	0	2	0
RP11-338N10.1	0	0	2	0	2	0	0	0	1	0	0	0	0	1	1
RP11-338N10.2	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0
RP11-338N10.3	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
VAMP3	3517	3082	2830	3507	4190	3036	3265	3682	3355	1580	1710	1417	2107	1935	1530
RP3-467L1.6	11	13	14	8	12	8	9	7	15	3	10	7	4	9	10
PER3	43	44	40	46	51	47	62	79	72	58	72	73	83	62	79
RP3-467L1.4	3	0	1	2	0	1	2	1	1	4	3	6	4	1	4
UTS2	0	0	0	4	3	4	5	7	2	302	414	1286	1876	947	1353
TNFRSF9	242	211	194	42	19	12	46	28	27	85	115	60	129	127	81
RP5-892F13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARK7	10132	9093	8408	7049	7774	5668	6511	6714	6264	5253	8254	6941	8688	7886	8418
Y_RNA	782	668	666	644	831	642	638	780	816	590	652	550	726	657	613
ERRFI1	515	409	387	289	251	197	266	218	224	459	212	235	264	209	188
RP11-431K24.1	6	4	0	1	3	8	4	4	2	1	0	1	3	3	0
CTA-215D11.4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RP11-431K24.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-431K24.3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RP11-431K24.4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RNU6-991P	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SLC45A1	6	6	3	6	7	1	3	6	4	2	2	3	0	2	1
RERE	944	820	774	612	774	492	685	647	632	283	314	305	419	530	336
RP5-1115A15.1	8	6	9	4	1	4	1	9	4	0	3	3	1	3	2
SNORA77	12	8	16	7	15	12	18	21	12	15	7	25	14	11	12
RP5-1115A15.2	11	8	12	6	11	15	13	10	11	3	4	3	1	6	5
AL096855.1	3	2	0	2	1	2	0	0	4	0	1	0	0	0	1
RPL7P11	8	6	6	1	0	1	0	1	2	2	3	6	2	2	1
RPL7P7	13	10	6	10	11	6	6	2	9	5	4	9	14	8	8
RP4-633I8.3	15	6	4	5	5	6	7	0	10	3	6	3	1	11	3
RP4-633I8.4	87	67	90	93	90	72	68	63	98	36	60	68	77	73	65
RPL23AP19	0	1	0	2	0	1	0	0	0	0	1	0	0	3	0
ENO1	78439	71934	67752	88914	91082	87456	81670	94440	94380	102329	103129	117060	125572	93645	134970
MIR6728	1	1	0	0	0	2	1	0	1	0	2	3	3	1	4
ENO1-IT1	7	6	5	4	11	2	5	3	8	12	15	15	8	12	9
ENO1-AS1	3	3	1	2	2	0	0	3	3	7	11	10	13	2	13
RNU6-304P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGN2P17	1	2	2	4	1	3	4	1	2	4	5	4	4	4	7
RP3-477M7.5	4	3	3	3	1	0	2	3	4	3	1	5	3	0	5
RP3-477M7.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA6	2	2	3	6	4	1	1	5	0	14	12	9	14	16	20
RN7SL451P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A7	2	3	0	3	1	1	0	4	4	0	0	0	0	1	0
SLC2A5	24	18	19	34	2	6	22	20	16	208	430	139	99	204	80
SCARNA16	0	2	1	1	1	0	1	1	0	0	0	0	0	0	0
AL158048.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR157	52	41	31	35	31	44	44	40	27	19	39	27	42	28	42
MIR34A	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
RP3-510D11.1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
RP3-510D11.2	21	24	27	27	11	12	42	18	23	17	4	4	8	10	10
RP3-510D11.4	1	2	3	1	2	0	2	2	1	0	0	0	0	4	0
H6PD	983	862	863	607	655	646	398	452	334	411	434	454	528	561	749
SPSB1	27	25	14	5	15	9	10	17	17	15	16	15	23	21	13
RNA5SP40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-392I16.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SLC25A33	54	48	39	108	93	91	109	81	105	44	66	59	58	59	84
RP13-15M17.1	12	11	6	14	24	21	12	21	18	2	8	16	6	11	12
TMEM201	151	146	125	62	79	71	67	97	74	28	42	54	27	75	52
PIK3CD	89	94	88	54	86	51	72	70	77	639	909	561	656	1159	661
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	18	39	14	14	41	17
RP11-558F24.2	0	1	0	0	1	0	0	0	0	2	6	2	0	7	2
PIK3CD-AS2	39	48	36	30	38	29	25	48	38	20	27	27	39	42	49
CLSTN1	303	241	224	190	234	146	182	223	176	105	115	95	111	111	96
MZT1P1	2	1	1	0	0	0	0	0	0	1	1	0	0	1	0
AL357140.1	1	1	2	2	1	1	4	5	3	0	2	0	0	1	0
CTNNBIP1	290	293	242	213	258	202	227	257	201	141	158	186	222	220	200
RP11-84A14.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LZIC	1104	923	848	838	1020	726	846	834	675	742	984	810	897	989	1016
RP11-84A14.4	16	14	15	11	9	4	13	10	6	12	14	16	17	13	15
NMNAT1	469	426	409	444	470	356	423	467	402	567	745	577	754	750	719
RN7SKP269	3	2	3	4	0	2	3	2	0	8	6	1	1	2	4
MIR5697	0	2	1	0	0	0	1	1	0	0	0	1	0	2	3
RP11-807G9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP7	1	3	1	0	0	4	2	0	1	38	32	37	77	36	39
UBE4B	2281	2083	1929	911	1663	1284	1016	1627	1462	680	881	816	776	1007	911
RP11-496H15.2	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0
PGAM1P11	4	3	3	6	1	1	9	3	5	1	4	8	12	8	9
RNU6-828P	3	2	1	5	8	3	5	10	12	4	9	6	2	5	1
KIF1B	2315	2039	1899	1525	2108	1706	1694	1910	1970	395	458	356	496	576	416
MIR1273D	0	2	0	0	2	3	0	4	0	0	1	0	0	0	0
RNU6-37P	10	9	2	3	5	1	7	11	1	3	1	2	0	3	3
RN7SL731P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGD	7208	6583	6112	6132	7967	5498	6204	7428	6684	22337	16667	14702	18799	14635	14844
RP4-736L20.3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
APITD1-CORT	3	3	2	5	4	3	1	2	1	1	2	1	5	0	1
APITD1	73	54	54	40	41	34	39	33	45	34	97	47	80	79	93
CORT	5	6	5	6	2	4	9	2	5	0	3	0	1	3	0
DFFA	4027	3605	3348	4033	4477	3467	4527	4118	3918	1579	2242	1839	2329	2137	2156
RP5-1113E3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX14	138	119	117	124	125	114	130	120	151	64	126	133	112	133	162
RN7SL614P	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CASZ1	72	64	55	140	168	149	165	178	149	6	2	3	2	2	8
RP4-734G22.3	6	3	9	3	2	4	0	1	7	0	0	0	3	0	1
HSPE1P24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf127	2	0	0	0	0	0	0	0	0	4	17	5	4	10	3
CFL1P6	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1
AL713997.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
