gene	inverseRank
ZNF738	-3.84
CPM	-3.83
KIAA1143	-3.78
NQO1	-3.77
COL15A1	-3.75
STK4	-3.72
EMP1	-3.71
WNT5A	-3.71
CYP1A1	-3.71
VTN	-3.71
IL32	-3.70
RSPO2	-3.69
PHLDA1	-3.67
PROX1	-3.64
LBH	-3.62
XRCC2	-3.59
LUM	-3.59
COLEC10	-3.58
PRKAG1	-3.57
CPE	-3.56
NELL2	-3.54
PLA2G2A	-3.53
SLC18A1	-3.51
DAD1	-3.50
SNAI1	-3.48
PROM1	-3.47
HELLS	-3.43
ATP1B1	-3.40
HOPX	-3.38
HMGB2	-3.36
RNASE1	-3.35
KCNK1	-3.34
COL5A1	-3.32
BIRC5	-3.29
SMIM18	-3.27
GATA4	-3.26
MAGED2	-3.23
NUCKS1	-3.22
ZNF426	-3.22
APOLD1	-3.22
RAB13	-3.19
THY1	-3.19
HNRNPA2B1	-3.17
PRR11	-3.16
DLX5	-3.15
GRIA1	-3.15
REG4	-3.14
TPM1	-3.13
VWA5A	-3.11
TK1	-3.11
TDO2	-3.07
SAMSN1	-3.07
SERF2	-3.06
P2RY1	-3.05
SARNP	-3.04
METTL7A	-3.03
PID1	-3.03
NRXN1	-3.03
HOXA10	-3.02
VMP1	-3.02
GJC1	-3.01
AKAP12	-3.01
GIMAP4	-3.01
SLC7A7	-3.00
DEGS1	-2.99
PGM3	-2.99
FGF12	-2.99
STAB2	-2.98
NID2	-2.98
FN1	-2.98
TCF4	-2.97
GABARAPL1	-2.96
ORMDL3	-2.95
PRND	-2.95
SERINC1	-2.92
TRAPPC3	-2.86
PAICS	-2.86
COL3A1	-2.86
CD93	-2.83
TTC1	-2.81
CDC42	-2.81
TMEM200A	-2.80
BMP7	-2.78
MRC1	-2.77
SH3BP2	-2.77
FBXL20	-2.76
CLK3	-2.74
DBI	-2.73
CKAP2L	-2.72
OAT	-2.72
HMGB3	-2.72
SOD2	-2.71
CEBPZOS	-2.70
PARM1	-2.70
SNX3	-2.69
COL6A1	-2.69
DLC1	-2.69
LMCD1	-2.68
CSRP2	-2.68
ADAM19	-2.67
ANXA5	-2.67
FBN1	-2.65
SOAT1	-2.64
PHPT1	-2.64
PLA2G5	-2.63
MYL12B	-2.63
MELK	-2.62
HAND2	-2.61
SNX2	-2.61
LAPTM4A	-2.61
SEC14L1	-2.60
CETP	-2.59
PCOLCE	-2.58
TAX1BP1	-2.58
PARVA	-2.58
BASP1	-2.56
ZFP14	-2.56
PPIB	-2.56
SYT4	-2.54
SOD1	-2.53
ZNF611	-2.52
MAP3K1	-2.51
IGDCC4	-2.50
TMEM100	-2.50
C1S	-2.49
TNFAIP8L1	-2.48
GNA13	-2.48
EDNRB	-2.48
AXL	-2.47
NUSAP1	-2.45
DDR2	-2.45
PHYH	-2.45
TMSB15A	-2.45
CALM1	-2.43
CALU	-2.42
PBK	-2.42
SAT1	-2.42
ZMAT2	-2.41
NR5A2	-2.40
RAB30	-2.40
SEMA6A	-2.39
ZNF587B	-2.38
TULP3	-2.38
PCDHB11	-2.38
GPR19	-2.37
TGIF1	-2.37
NPC2	-2.36
ALDH1A2	-2.36
DUSP3	-2.34
IFI16	-2.34
KITLG	-2.33
RERG	-2.33
XPR1	-2.32
CHSY1	-2.31
CYSLTR2	-2.31
C3	-2.31
RASGRP3	-2.29
TGFBI	-2.28
ST8SIA4	-2.28
WDR33	-2.28
GPX8	-2.28
RRM2	-2.28
ADAMTS9	-2.27
KPNA2	-2.27
INIP	-2.27
CAP1	-2.26
VCAN	-2.25
PIP4K2A	-2.24
DAAM1	-2.24
CDKN3	-2.22
COL4A1	-2.22
SEMA6D	-2.21
MAGT1	-2.18
RFTN2	-2.18
ETV5	-2.17
NDUFS1	-2.17
COPB2	-2.17
S1PR1	-2.16
PRRX1	-2.15
LPL	-2.15
CBX5	-2.15
VPS29	-2.15
DSN1	-2.14
FTL	-2.13
MRPL24	-2.13
ITGA1	-2.13
ADGRL2	-2.10
ARPC3	-2.10
RPL8	-2.10
EIF4E2	-2.09
ACTR2	-2.09
MPP1	-2.08
GSTM3	-2.08
NUP43	-2.07
F5	-2.06
PICALM	-2.06
MYC	-2.06
ANAPC11	-2.06
PDHB	-2.06
NCAPG2	-2.04
DDIAS	-2.04
STK16	-2.04
NUP155	-2.03
FGF10	-2.03
COMMD2	-2.03
DMD	-2.02
CCDC167	-2.01
GTF2A2	-2.00
TMEM98	-2.00
FBLN5	-2.00
TM2D2	-1.99
CHST9	-1.99
MEA1	-1.99
ARHGEF12	-1.99
TMBIM1	-1.99
TUBB6	-1.98
ZWILCH	-1.98
SRGAP1	-1.98
GAN	-1.98
DUSP6	-1.98
KLRK1	-1.97
GBP2	-1.97
LAMP5	-1.97
PRICKLE2	-1.97
IQGAP1	-1.96
RNF19A	-1.96
SLN	-1.95
SPC25	-1.95
MRI1	-1.94
FNDC3B	-1.94
EGR1	-1.93
NEDD9	-1.91
FKBP3	-1.91
AHNAK	-1.90
PRSS16	-1.90
ACSM3	-1.90
CCNB1	-1.90
MAF	-1.89
CFL2	-1.88
CENPI	-1.88
FRZB	-1.87
GAS2L3	-1.87
HAPLN1	-1.86
SELENBP1	-1.86
LAMC3	-1.86
CCNE2	-1.85
MAP1A	-1.85
IGFBP3	-1.85
VSNL1	-1.85
UQCR10	-1.85
ZNF891	-1.85
ADAMTS1	-1.84
CAP2	-1.84
PSMB2	-1.84
CD59	-1.84
MLLT11	-1.84
DLGAP5	-1.84
ATF3	-1.84
BET1	-1.83
NOSTRIN	-1.82
BMP2	-1.82
PMP22	-1.82
ABCA4	-1.81
SCN3B	-1.81
DOK5	-1.81
KIF23	-1.80
UGDH	-1.80
SDHAF4	-1.80
TAX1BP3	-1.80
SPDL1	-1.80
GPX1	-1.79
SAMD5	-1.79
TRIB1	-1.79
ANLN	-1.79
DCUN1D3	-1.79
ACTC1	-1.79
ADAMTS20	-1.79
COL1A1	-1.78
KLF7	-1.78
RFC3	-1.78
CREM	-1.78
TUBA1B	-1.77
COX7A1	-1.77
IFNGR1	-1.77
NUCB2	-1.76
RPS19	-1.76
HSPB11	-1.76
SVEP1	-1.76
PTTG1	-1.76
LYRM7	-1.76
CYP1B1	-1.76
CD109	-1.75
GPC3	-1.75
FAM200B	-1.75
CTSB	-1.75
CX3CR1	-1.74
TAGLN	-1.74
CYP20A1	-1.74
TNNT2	-1.74
ZNF83	-1.74
ZNF829	-1.74
NDST1	-1.73
IAH1	-1.73
SLC22A3	-1.73
TMEM37	-1.73
PRDX3	-1.72
FAM171A1	-1.72
ADAMTS5	-1.71
DERL2	-1.70
C14orf119	-1.70
ITGB1BP1	-1.70
MCHR1	-1.69
SLC16A2	-1.69
EPSTI1	-1.69
ENPP2	-1.69
B3GALT5	-1.69
HDDC2	-1.68
PPP1R7	-1.68
DARS2	-1.68
CAPZA1	-1.68
SDC2	-1.67
ARMCX3	-1.67
NRP1	-1.67
RAD1	-1.67
CGNL1	-1.67
CD44	-1.66
ULBP1	-1.65
ADAMTS15	-1.65
ERP29	-1.65
TIAM1	-1.65
SRP14	-1.65
ANPEP	-1.65
TBC1D4	-1.64
DPM1	-1.64
YWHAZ	-1.64
ZNF93	-1.64
RGS10	-1.63
NTM	-1.63
MARCKS	-1.63
FZD10	-1.63
STMN1	-1.63
LSM3	-1.63
SMAD9	-1.62
PTGDS	-1.62
NT5E	-1.62
OAZ2	-1.61
TMEM126B	-1.61
TM4SF1	-1.61
PGM5	-1.61
RSPO3	-1.60
LIPG	-1.60
ABCF3	-1.60
POLG2	-1.59
TBC1D15	-1.59
PCMT1	-1.59
MAFB	-1.59
LOX	-1.59
GLA	-1.59
NPTN	-1.58
IFIT1	-1.58
LRRC2	-1.58
CCDC82	-1.58
KRT19	-1.58
RPS6KA3	-1.58
APH1A	-1.57
NDUFB6	-1.57
UBE2V2	-1.57
MYL12A	-1.57
TOX3	-1.57
RTP3	-1.57
GEMIN6	-1.56
ST6GALNAC1	-1.56
ATRAID	-1.56
RAD51AP1	-1.56
PARP9	-1.56
ACTR10	-1.56
PCSK2	-1.55
RANBP3L	-1.55
FRMD6	-1.55
MDH1	-1.54
P4HA2	-1.53
NPY5R	-1.53
PELO	-1.53
ARMT1	-1.53
LRRN1	-1.52
S100Z	-1.52
LRIG2	-1.52
MORF4L2	-1.52
DLK1	-1.52
CD9	-1.52
KHSRP	-1.52
OXR1	-1.52
DCAF17	-1.51
RNF14	-1.51
ATP6V1F	-1.51
BRK1	-1.51
LGALS1	-1.51
SPARC	-1.51
HOXD11	-1.50
DYNLT1	-1.50
TMEM150C	-1.49
RASSF2	-1.49
CDC6	-1.49
NOTCH4	-1.48
RNF152	-1.48
MAX	-1.48
COG8	-1.48
GNG5	-1.48
PTGFR	-1.47
IL1R1	-1.47
FAM184A	-1.47
MRPL47	-1.47
MAGEF1	-1.47
RRM1	-1.46
TIMM50	-1.46
C8orf33	-1.46
PSMB6	-1.46
PSMC3	-1.45
HS3ST3B1	-1.45
S100A11	-1.45
GABRA2	-1.45
ZNF451	-1.44
CUL5	-1.44
GNA14	-1.44
POLR2C	-1.44
TNC	-1.44
SSR2	-1.44
USP31	-1.43
NDFIP2	-1.43
RPP30	-1.43
CLDN11	-1.43
LXN	-1.43
DCBLD1	-1.43
ACTA2	-1.42
UNC5C	-1.42
TSPAN6	-1.42
ATP6AP2	-1.42
MYZAP	-1.42
CDCA8	-1.42
INSIG2	-1.42
ITM2C	-1.42
CDCA3	-1.42
RGCC	-1.42
DCLRE1C	-1.42
DERA	-1.42
PITX2	-1.41
NIF3L1	-1.41
CCL21	-1.41
SNAI2	-1.41
CACHD1	-1.41
YIPF5	-1.41
PSMC2	-1.41
AJUBA	-1.40
FRMD4B	-1.40
HILPDA	-1.40
NDUFB3	-1.40
NDUFA12	-1.40
CEP89	-1.39
EIF2S1	-1.39
SETD1B	-1.39
ARSG	-1.39
COPA	-1.38
PSMD10	-1.38
PRPS1	-1.38
GTF2H5	-1.38
CNPY4	-1.37
IGSF10	-1.37
APAF1	-1.37
TXNDC9	-1.37
RABIF	-1.37
TNFRSF25	-1.37
EPS15	-1.37
SH3BGRL3	-1.37
COL14A1	-1.37
CEP57L1	-1.37
GAB1	-1.37
C9orf72	-1.37
TMEM263	-1.37
GANAB	-1.36
GPIHBP1	-1.36
POLR2G	-1.36
APPBP2	-1.36
ARL10	-1.36
CBFA2T2	-1.36
MAGED1	-1.36
CALM2	-1.35
DSTN	-1.35
SEC61G	-1.35
THBS1	-1.35
GPR37	-1.35
COL1A2	-1.35
COX6C	-1.35
ACOT9	-1.35
CRYZL1	-1.34
PRDX1	-1.34
CD40	-1.34
ABHD4	-1.34
ZYG11B	-1.34
C1orf54	-1.34
HAUS1	-1.34
TMEM60	-1.34
MAP1B	-1.34
ADAMTSL1	-1.34
ADH5	-1.33
SEPTIN7	-1.33
PALLD	-1.33
SGCG	-1.32
S100A6	-1.32
GMNN	-1.32
GXYLT2	-1.32
CD300LG	-1.32
NDUFA8	-1.32
KIF5B	-1.31
RPS17	-1.31
CSRNP3	-1.31
SCUBE2	-1.31
RIOK2	-1.31
NCL	-1.31
IPP	-1.31
LIX1	-1.30
EPHA7	-1.30
PEX11A	-1.30
OSTF1	-1.30
DPYSL2	-1.29
POMP	-1.29
NR3C1	-1.29
GALNT14	-1.29
ANO4	-1.29
NTRK3	-1.29
DNASE1L1	-1.29
PDE4B	-1.29
ENC1	-1.28
CTTN	-1.28
MX1	-1.28
CPPED1	-1.28
SEC23A	-1.28
C18orf54	-1.28
FKBP14	-1.27
GOLT1B	-1.27
FOXF1	-1.27
MAVS	-1.27
EML2	-1.27
NAA20	-1.27
WWTR1	-1.27
DLST	-1.26
COPB1	-1.26
AP5M1	-1.26
UBA52	-1.26
CFDP1	-1.26
WNT2	-1.26
TOR1AIP2	-1.26
APOM	-1.26
CTSL	-1.26
CCNG1	-1.25
CASP8	-1.25
NMRK1	-1.25
CD46	-1.25
NDUFS3	-1.25
TYRP1	-1.25
THAP6	-1.25
LRRC40	-1.25
CXCR4	-1.24
DR1	-1.24
MYH10	-1.24
ARL4A	-1.24
CLDND1	-1.24
DYNLL1	-1.24
COL4A2	-1.24
UTP6	-1.24
EFCAB1	-1.24
AURKB	-1.24
IQGAP3	-1.24
MRPL51	-1.24
TRMT2B	-1.24
PDCD10	-1.23
COX7A2	-1.23
CETN3	-1.23
PPIE	-1.23
DCDC2B	-1.23
BDKRB1	-1.23
OSTC	-1.23
LITAF	-1.23
GLRX	-1.22
TUBA1C	-1.22
CLDN5	-1.22
RMDN1	-1.22
RBMS3	-1.22
HMGB1	-1.22
SPOP	-1.22
LINGO2	-1.21
NCAPG	-1.21
RPL21	-1.21
TMED10	-1.21
SDHB	-1.21
YPEL5	-1.21
FCN3	-1.21
PCDH18	-1.21
TMEM68	-1.21
PRAC1	-1.21
DNAJC15	-1.20
PRNP	-1.20
TRIM38	-1.20
STX12	-1.20
LDHA	-1.20
DLX6	-1.20
CETN2	-1.20
RBMS1	-1.20
PYGL	-1.20
MCOLN3	-1.20
PHTF1	-1.20
NR2F2	-1.20
TUBG1	-1.19
MRPL22	-1.19
AURKA	-1.19
SUB1	-1.19
KCTD7	-1.19
THSD1	-1.19
PDPN	-1.19
EXOG	-1.19
FARP2	-1.19
LSM5	-1.19
RPL36AL	-1.19
KIF20A	-1.19
NPTX1	-1.19
AKAP13	-1.18
CHTF8	-1.18
EXOSC6	-1.18
PDAP1	-1.18
FCF1	-1.18
CDR2L	-1.18
GHITM	-1.18
TMEM141	-1.17
COPS7A	-1.17
ANKRD54	-1.17
POFUT1	-1.17
TCP11L1	-1.17
MRPL13	-1.17
RNF149	-1.17
RUNX2	-1.17
COQ10B	-1.17
NBEAL1	-1.17
ANTXR2	-1.17
ARPC1A	-1.16
EFR3B	-1.16
ALDH1L1	-1.16
RPL26L1	-1.16
CCL8	-1.16
HAT1	-1.16
COX7B	-1.16
REEP5	-1.16
PSMA1	-1.16
RGS2	-1.16
MRPL10	-1.16
NDRG1	-1.16
TRAF4	-1.16
TNFRSF19	-1.16
VPS4B	-1.16
RPS13	-1.15
FUS	-1.15
COPZ1	-1.15
CLIC1	-1.15
ST3GAL1	-1.15
C5orf15	-1.15
ASNS	-1.15
NUDT12	-1.15
RAB3D	-1.15
CBY1	-1.15
OAZ1	-1.15
COL6A2	-1.15
LRRC7	-1.15
GSTM2	-1.14
EPB41L5	-1.14
BMP10	-1.14
NDUFB1	-1.14
AP2B1	-1.14
HOXB7	-1.14
NEIL3	-1.14
PLAT	-1.14
RECQL	-1.14
BLACAT1	-1.14
SLC25A3	-1.13
LRRC57	-1.13
KDELR3	-1.13
RBM28	-1.13
ZNF761	-1.13
PTK2	-1.13
KIF2C	-1.13
TAF9B	-1.13
ZFP36L1	-1.13
LAMTOR2	-1.13
GNAI3	-1.13
NDUFB9	-1.13
THG1L	-1.13
VPS25	-1.13
CLEC4M	-1.12
PLA2R1	-1.12
TIMP1	-1.12
ATP6V1D	-1.12
CALD1	-1.12
ROMO1	-1.12
NFU1	-1.12
TCEAL4	-1.12
COX4I1	-1.12
MYL9	-1.12
S1PR2	-1.12
CFL1	-1.12
TBP	-1.11
CIR1	-1.11
TTK	-1.11
ELOF1	-1.11
CNN1	-1.11
HTR7	-1.11
ADM	-1.11
WDR76	-1.11
PON2	-1.11
VBP1	-1.11
EPHA3	-1.11
CIT	-1.10
FREM1	-1.10
TOP2A	-1.10
TMEM39A	-1.10
PIGT	-1.10
LUZP2	-1.10
SPEG	-1.10
PSAT1	-1.10
BAX	-1.09
CENPW	-1.09
ZNF703	-1.09
MAST4	-1.09
LSM1	-1.09
RNF125	-1.09
DNAJC24	-1.09
SAT2	-1.09
SMU1	-1.09
DYRK4	-1.09
SURF6	-1.09
MRPS16	-1.08
UBE2T	-1.08
ZNF136	-1.08
TNFRSF11A	-1.08
ALDH1L2	-1.08
CENPM	-1.08
UQCC2	-1.08
OST4	-1.08
IFI6	-1.08
C12orf4	-1.08
ESCO2	-1.08
AKR1C1	-1.08
PARK7	-1.08
PSMD4	-1.08
NR2F1	-1.07
TMTC3	-1.07
EZR	-1.07
ARF4	-1.07
MED28	-1.07
ADAMTS12	-1.07
C1orf112	-1.07
CTSK	-1.07
NCAPH	-1.07
SLC33A1	-1.07
UEVLD	-1.07
MTMR14	-1.07
PMEL	-1.07
GPR1	-1.06
CHMP5	-1.06
SLC35G2	-1.06
UBASH3B	-1.06
PSMA4	-1.06
GPX3	-1.06
COPS8	-1.06
MMAA	-1.06
ZNF844	-1.06
SP6	-1.05
TSPAN9	-1.05
RPL27	-1.05
CCDC80	-1.05
ZNF655	-1.05
POTEC	-1.05
USE1	-1.05
OR51B6	-1.05
TRPV2	-1.04
GPR182	-1.04
PSMC5	-1.04
ACTN2	-1.04
GADD45G	-1.04
ECM1	-1.04
PPCDC	-1.04
SRY	-1.04
FAM118B	-1.04
NDUFA1	-1.04
OXGR1	-1.04
SNRPC	-1.04
RBSN	-1.04
DEPDC1	-1.04
SMAP2	-1.04
MED18	-1.04
BST1	-1.03
SLC2A3	-1.03
ANKS1A	-1.03
PAK1IP1	-1.03
SKP1	-1.03
RAB2B	-1.03
RBX1	-1.03
LATS2	-1.03
PDLIM5	-1.03
ZC4H2	-1.02
POLK	-1.02
ADAM9	-1.02
ETV4	-1.02
PGPEP1	-1.02
SDF2	-1.02
LMO4	-1.02
RFFL	-1.02
NDUFA4	-1.02
HADHB	-1.02
RPS20	-1.02
PIGBOS1	-1.02
ARNT	-1.02
TRAIP	-1.02
KCNE3	-1.02
RRH	-1.02
IER3IP1	-1.02
MPHOSPH8	-1.02
TRMT5	-1.02
XIAP	-1.02
XKR4	-1.02
TMEM107	-1.02
GNG12	-1.02
SLC17A5	-1.02
ITGB1	-1.02
TIMM17A	-1.01
ORC1	-1.01
ZNF813	-1.01
COL13A1	-1.01
NUP85	-1.01
KIF20B	-1.01
P4HA1	-1.01
CUL2	-1.01
RARS2	-1.01
CAPN6	-1.01
ZNF860	-1.01
TPT1	-1.00
SNX6	-1.00
LZIC	-1.00
EDC3	-1.00
C16orf89	-1.00
ST8SIA1	-1.00
TDGF1	-1.00
TMCO1	-1.00
KIAA1586	-1.00
PFDN5	-1.00
SMIM12	-1.00
AKAP4	-1.00
TBCB	-1.00
ADAMTS18	-1.00
RFC4	-1.00
ENTPD1	-1.00
SPIN4	-1.00
CD63	-0.99
SGCB	-0.99
SRP9	-0.99
GEM	-0.99
RPL14	-0.99
MARVELD2	-0.99
RNF24	-0.99
ICOS	-0.99
GFPT2	-0.99
SERPIND1	-0.99
ACTG1	-0.99
CYB5B	-0.99
PCK2	-0.99
NTMT1	-0.99
EFHD1	-0.99
HNRNPUL1	-0.99
NMI	-0.99
ZBTB49	-0.99
SNRPD2	-0.99
NID1	-0.99
HJURP	-0.99
TUBB3	-0.98
SFR1	-0.98
JAM3	-0.98
ARPC2	-0.98
SYNJ2BP	-0.98
SMARCA1	-0.98
ZNF385D	-0.98
PDCL	-0.98
PLIN2	-0.98
TEK	-0.98
ZNF429	-0.98
CEP170	-0.98
LRRC4	-0.98
KATNBL1	-0.98
ZNF486	-0.98
AAGAB	-0.98
GTF2B	-0.98
ABL2	-0.98
GNLY	-0.98
PSAP	-0.98
CCDC89	-0.97
COLGALT1	-0.97
SSR1	-0.97
NECAP2	-0.97
ZNF331	-0.97
SEC62	-0.97
HNRNPC	-0.97
LAMTOR4	-0.97
GAL3ST4	-0.97
LACC1	-0.97
AFAP1L2	-0.97
ATOX1	-0.97
LPAR6	-0.97
SAP18	-0.97
ZNF433	-0.97
C22orf15	-0.97
SELENOF	-0.97
FKBP2	-0.96
TOMM40L	-0.96
NDUFA6	-0.96
ARPC5	-0.96
ESM1	-0.96
SAR1A	-0.96
RPIA	-0.96
NAGK	-0.96
PLSCR5	-0.96
ARF6	-0.96
CNIH4	-0.96
UBE2N	-0.96
SST	-0.96
BCAS2	-0.96
MRPS7	-0.96
NCK1	-0.96
NDNF	-0.95
IL17RA	-0.95
PFDN6	-0.95
IGFBP5	-0.95
TMEM256	-0.95
ST6GALNAC2	-0.95
HOXA11	-0.95
PDCL3	-0.95
FAM126A	-0.95
RNF34	-0.95
CCNB2	-0.95
CENPK	-0.95
SLC2A1	-0.95
EMC2	-0.94
MTERF4	-0.94
GUCY2C	-0.94
APLNR	-0.94
LRRC4C	-0.94
PDZD11	-0.94
TRAPPC1	-0.94
CENPU	-0.94
FOSL2	-0.94
FPGT	-0.94
COL4A6	-0.94
TBC1D31	-0.94
MRPL40	-0.94
CENPN	-0.94
THBD	-0.93
SERPINB8	-0.93
ALOX5AP	-0.93
TMEM14B	-0.93
PPIL1	-0.93
DEPDC1B	-0.93
CAMKV	-0.93
RGL1	-0.93
NDUFA7	-0.93
PFDN1	-0.93
MAMLD1	-0.93
SSR4	-0.93
RBM48	-0.93
SYNE1	-0.93
UTP3	-0.93
HSPA5	-0.93
TSHZ3	-0.93
BHMT	-0.92
MRPL17	-0.92
AKR1C3	-0.92
EMP2	-0.92
DECR1	-0.92
ZNF217	-0.92
HMMR	-0.92
ADTRP	-0.92
SNAP23	-0.92
ACSM1	-0.92
UBLCP1	-0.91
C6orf226	-0.91
ABI1	-0.91
QPCT	-0.91
UBL5	-0.91
CCDC130	-0.91
SLC43A3	-0.91
KLHL28	-0.91
TENM2	-0.90
SHCBP1	-0.90
SRP54	-0.90
RCC1	-0.90
TAF1B	-0.90
SERINC2	-0.90
LAMTOR5	-0.90
MRPL36	-0.90
RPL23	-0.90
ARFGAP3	-0.90
CLCN5	-0.90
CLP1	-0.90
GCHFR	-0.90
RTN4	-0.90
MAPK13	-0.90
ARL9	-0.90
NDRG2	-0.90
LMNTD1	-0.90
WDR61	-0.90
TMLHE	-0.90
ORMDL2	-0.90
SF3B5	-0.90
TSPAN31	-0.90
RPA3	-0.89
PSMC6	-0.89
CTNNA1	-0.89
RPLP1	-0.89
SGCE	-0.89
BDKRB2	-0.89
ARL3	-0.89
HDAC8	-0.89
GTF2H3	-0.89
CITED2	-0.89
PLEKHA2	-0.89
BBS12	-0.89
EDA	-0.89
CYB5R2	-0.89
CDH2	-0.89
GOLIM4	-0.89
FCER1G	-0.89
MFSD9	-0.89
HNRNPDL	-0.88
B9D1	-0.88
STOM	-0.88
MEOX2	-0.88
NDUFC2	-0.88
SUMO1	-0.88
COTL1	-0.88
PRRG3	-0.88
SYNM	-0.88
SORBS2	-0.88
BCL11B	-0.88
SMCR8	-0.88
UNC50	-0.88
NUDT11	-0.88
PIM1	-0.88
C5AR1	-0.88
CPED1	-0.87
PALMD	-0.87
SERPINA1	-0.87
PRCD	-0.87
HOXB9	-0.87
FGL1	-0.87
TG	-0.87
CDH10	-0.87
SRSF5	-0.87
DHX57	-0.87
DCLRE1B	-0.87
ANGPTL2	-0.87
SELE	-0.87
METRNL	-0.87
UBA3	-0.87
FAM111B	-0.87
E2F8	-0.86
CAPN5	-0.86
KCNJ5	-0.86
PSMB1	-0.86
CDCA5	-0.86
CTHRC1	-0.86
ZWINT	-0.86
TRIQK	-0.86
RHOA	-0.86
NDUFS4	-0.86
PRMT2	-0.86
RDH5	-0.86
MED6	-0.86
TRMT112	-0.86
MANBAL	-0.86
ZNF169	-0.86
TPI1	-0.86
TCEAL8	-0.86
BAZ1B	-0.86
TMEM200B	-0.86
PDK4	-0.86
ZNF791	-0.85
SMAGP	-0.85
LFNG	-0.85
DNAJC8	-0.85
MTMR11	-0.85
MRPL14	-0.85
TYRO3	-0.85
SLFN5	-0.85
RSRP1	-0.85
GRIN3A	-0.85
NDUFB5	-0.85
FGFR1	-0.85
UXS1	-0.85
MEX3A	-0.85
GSKIP	-0.85
CAV2	-0.85
C11orf58	-0.85
AQP3	-0.85
SLC39A6	-0.85
TMEM236	-0.85
FAM189A2	-0.85
COX5B	-0.85
EIF1	-0.85
IFI27L1	-0.85
TMEM165	-0.85
RASL12	-0.85
COA3	-0.85
SGTB	-0.85
CNTNAP1	-0.84
DDX59	-0.84
NDUFB2	-0.84
CCDC127	-0.84
RPL19	-0.84
DDAH1	-0.84
TMEM235	-0.84
ZNF347	-0.84
ANTXR1	-0.84
KCNH5	-0.84
PSMD6	-0.84
AP3S1	-0.84
HNRNPH3	-0.84
FGF7	-0.84
TBX20	-0.84
DKK1	-0.84
CAPNS1	-0.84
RRAGA	-0.84
GMFG	-0.84
CASP3	-0.84
PLA2G15	-0.84
RNF216	-0.84
TMEM242	-0.84
PDGFRA	-0.84
SPCS1	-0.84
ZC2HC1C	-0.84
PFDN4	-0.84
XRCC5	-0.83
ITM2B	-0.83
FAM110B	-0.83
BRF2	-0.83
GLT8D1	-0.83
KIF4A	-0.83
COLEC12	-0.83
TIMM8A	-0.83
CRTC3	-0.83
ITCH	-0.83
TCTN3	-0.83
GRAMD1B	-0.83
RPS6KA2	-0.83
CHI3L1	-0.83
LTA4H	-0.83
ZFP30	-0.83
TRIM59	-0.83
SIPA1L2	-0.82
HMBOX1	-0.82
RSRC2	-0.82
TMEM255B	-0.82
DNASE2	-0.82
DPY30	-0.82
ASF1A	-0.82
RYR2	-0.82
SERPINE1	-0.82
TCEANC	-0.82
RPP14	-0.82
GPR143	-0.82
BUB3	-0.82
REXO2	-0.82
SVIL	-0.82
RNF217	-0.82
NAGS	-0.82
