GeneID	IWP	HED	HER	CD184
ABCE1	1.370206909	1.454173338	1.458378345	1.256765558
ABCF1	1.127626747	1.011454286	1.027476509	1.073061055
ABCF2	1.453069277	1.303493263	1.337050314	1.347681407
ABCF2P1	-1.274375633	-1.484988948	-1.979427174	-1.021781037
ABCF2P2	-1.209337119	-1.145604036	-0.723300647	-0.607594758
ABCF3	1.331041349	1.188828728	1.138237938	1.276346967
ABCG1	-0.85001015	-0.594966757	-0.568530156	0.066586932
ABCG2	0.003954753	0.102254219	0.14593849	0.752034037
ABCG4	-2.074301492	-2.195845233	-2.505619657	-1.83515061
ABCG5	-1.151243649	-1.15926001	-1.064446538	-1.162777942
ABCG8	-0.943379119	-1.4053452	-1.838975002	-0.948986809
ABHD1	-0.907949931	-0.618537845	-0.646314011	-1.232480975
ABHD10	1.326879847	1.256017108	1.286954934	1.157059385
ABHD11	0.613916008	0.241104973	0.138426293	0.485521396
ABHD11-AS1	-0.935803811	-1.005498745	-0.509543902	-0.886910615
ABHD12	0.338246166	0.083013526	0.124415192	0.223486771
ABHD12B	-0.82388224	-1.209722085	-0.919436749	-1.037135305
ABHD13	0.774924656	0.567398098	0.608458462	0.727020175
ABHD14A	0.587156666	0.354078258	0.315023184	0.529351404
ABHD14A-ACY1	-1.139620142	-1.708539586	-1.580821382	-1.213127101
ABHD14B	0.739763634	0.654019232	0.764179629	0.68569216
ABHD15	-0.249778763	-0.350579163	-0.437035774	-0.329102831
ABHD15-AS1	-1.082352213	-0.971380034	NA	-0.654024667
ABHD16A	-2.356407339	NA	-2.326644787	NA
ABHD16B	NA	NA	NA	NA
ABHD17A	-0.973540446	-1.161660905	-1.289520834	-0.77164064
ABHD17AP1	NA	NA	NA	-1.716228109
ABHD17AP3	-1.118253206	NA	NA	-1.80210693
ABHD17AP4	NA	NA	NA	NA
ABHD17AP5	NA	NA	NA	NA
ABHD17AP6	NA	-1.488122154	NA	NA
ABHD17AP9	NA	NA	NA	NA
ABHD17B	0.473985307	0.59895197	0.5459936	0.379963258
ABHD17C	-0.420612054	-0.15112741	-0.17589626	-0.587643406
ABHD2	0.532621627	0.271950147	0.338635673	0.528874502
ABHD3	0.053879803	0.171144345	0.063611331	0.182424823
ABHD4	1.434911695	1.488675212	1.448261598	1.355831754
ABHD5	0.792115725	0.768288163	0.790392799	0.842744849
ABHD6	0.598505611	0.275223227	0.299247685	0.480321149
ABHD8	-0.709695449	-1.115229097	-1.221745762	-0.891988229
ABI1	1.622628341	1.736376917	1.715258289	1.609072059
ABI2	0.830472121	0.793105002	0.813573731	0.924819377
ABI3	1.150728821	0.666870562	0.622431123	1.029189351
ABI3BP	-0.920016355	-0.73896242	-0.875640719	-0.687508053
ABL1	0.658217972	0.389248496	0.458599913	0.658944596
ABL2	0.849179015	0.983497511	0.951034915	1.287124784
ABLIM1	0.846958335	0.895096794	1.000370608	1.410814952
ABLIM2	-1.419431034	-1.832159305	-1.502970462	-1.137347739
ABLIM3	0.180104069	-0.16736832	-0.134818092	0.69660041
ABO	-0.32006926	-0.807506768	-1.078538812	-0.397220192
ABR	-0.561776156	-0.785883723	-0.975751413	-0.604031075
ABRA	-0.084933303	0.304245276	0.194913111	-0.275693067
ABRACL	2.132165354	2.315452402	2.312582197	2.261155985
ABT1	1.66213899	1.643684425	1.643402781	1.588308275
ABT1P1	-1.191307848	NA	-1.654284708	-1.554896868
ABTB1	-0.119538521	-0.436153664	-0.419060287	0.075703705
ABTB2	-0.550760132	-0.838314761	-0.633775717	0.397772721
AC000003.1	NA	-0.760236268	NA	NA
AC000029.1	NA	NA	NA	NA
AC000032.2	NA	NA	-1.399364348	NA
AC000035.3	NA	NA	NA	NA
AC000036.4	-2.045541446	-1.113921523	-1.327840958	-0.833478749
AC000041.10	NA	NA	NA	NA
AC000041.8	NA	NA	NA	NA
AC000067.1	NA	NA	NA	NA
AC000068.10	-1.134496175	-0.660834816	-0.684458622	-1.409104297
AC000068.5	0.137204399	0.447702492	0.312941365	0.110428063
AC000068.9	NA	NA	NA	NA
AC000077.2	NA	NA	-1.693400685	NA
AC000078.5	NA	NA	NA	NA
AC000081.2	-0.98223706	NA	-0.886034238	-1.20328017
AC000089.3	-0.35046458	-0.651934399	-0.672833995	-0.767689598
AC000095.11	NA	NA	NA	NA
AC000095.9	NA	NA	NA	NA
AC000099.1	-1.523338642	NA	-1.400003679	NA
AC000110.1	NA	NA	-1.474695703	-1.406966558
AC000111.3	NA	NA	NA	-0.984945984
AC000111.4	NA	NA	NA	NA
AC000111.5	NA	NA	NA	NA
AC000111.6	-1.294159853	NA	NA	NA
AC000120.7	-0.214802908	-0.435541326	-0.099752062	-0.21472237
AC000123.2	-0.671664021	-0.794288485	-0.676372599	-0.377339805
AC000123.3	-0.513143563	-0.487194147	-0.675413728	-0.456968917
AC000123.4	-0.834252114	-0.55609901	-0.826573522	-0.263315541
AC000124.1	-1.791422544	NA	NA	NA
AC000354.1	NA	NA	NA	NA
AC000362.1	NA	NA	NA	NA
AC000367.1	-0.776201637	-1.070483921	-0.886338363	-0.823830548
AC000370.2	NA	NA	NA	NA
AC000374.1	NA	NA	NA	NA
AC000403.1	NA	NA	NA	NA
AC000403.4	-1.646113358	-1.679012377	-2.268796945	-1.943695838
AC001226.7	-1.158962778	-0.945433395	-1.471530317	-1.120795444
AC002044.1	-0.06806504	-0.16462034	-0.217444533	0.044160316
AC002044.3	-0.066948615	-0.834058878	-0.500267844	-0.053423193
AC002044.4	0.272641543	-0.44344969	0.037074023	0.305499377
AC002056.3	-0.417318405	-1.030362227	-0.751849758	-0.819337625
AC002056.5	NA	-1.223769991	NA	-1.199664805
AC002059.10	0.531606299	0.508265647	0.409018778	0.230076273
AC002064.4	-1.179869851	-0.187428526	-0.40235039	-0.719510766
AC002064.5	NA	-1.250816223	-0.590792156	-0.82007386
AC002064.7	NA	-1.309527749	-0.774245018	NA
AC002066.1	-0.987655239	-0.492868961	-0.572930695	-0.878927821
AC002069.5	-1.473580017	-1.431759244	-1.04306138	-1.813448408
AC002069.6	NA	NA	NA	NA
AC002070.1	-0.827543945	NA	NA	-0.763379805
AC002072.1	NA	NA	NA	NA
AC002075.3	-0.635271392	-1.600398346	-0.93616956	-1.212129756
AC002075.4	0.01438085	-0.615245171	-0.63656946	-0.138524176
AC002076.10	0.135290173	-0.835961623	-0.831035496	-0.699919088
AC002115.5	NA	NA	NA	NA
AC002115.9	-1.564858942	-1.428660661	-1.462631192	NA
AC002116.7	0.054023862	-0.184827062	0.163529892	-0.290801657
AC002116.8	NA	NA	NA	NA
AC002117.1	-0.673737826	-0.89308496	-0.724492678	-0.553586012
AC002127.2	NA	NA	NA	NA
AC002127.4	-1.63677059	NA	NA	NA
AC002128.5	NA	NA	NA	-0.769096948
AC002306.1	-0.279951132	-0.191077862	-0.278351035	-0.481253164
AC002310.10	-0.878549014	-1.629589948	-1.281932092	-1.198662012
AC002310.11	NA	NA	NA	NA
AC002310.12	-0.03647091	0.288352943	0.227567234	-0.051502453
AC002310.13	NA	NA	NA	NA
AC002310.14	-1.162684199	-1.270423221	-1.853241725	-1.066476406
AC002310.17	-0.062270649	-0.209871615	-0.048478329	-0.323031338
AC002310.7	-2.020894011	-2.053300253	-1.997156387	NA
AC002314.4	-1.437876463	NA	NA	-1.357889577
AC002331.1	NA	-1.238798981	NA	-0.612633804
AC002366.1	NA	NA	NA	NA
AC002366.3	-1.241006802	NA	-1.815488513	-1.014070994
AC002368.4	NA	NA	-0.830291915	NA
AC002383.2	NA	NA	NA	NA
AC002386.1	NA	NA	NA	NA
AC002389.1	NA	NA	NA	NA
AC002395.1	-0.742366782	-0.146610625	-0.443232929	-0.750667839
AC002398.11	NA	-1.983942493	-1.035318348	NA
AC002398.12	NA	NA	NA	NA
AC002398.13	-0.801136223	-1.016140123	-1.037680735	-1.012610935
AC002398.9	NA	NA	NA	NA
AC002400.1	-0.280992391	-0.478100064	-0.582160064	-0.242667578
AC002401.1	-1.480756459	NA	-1.384553638	NA
AC002429.1	NA	NA	NA	NA
AC002429.4	-0.980772321	-0.940713366	NA	-0.916608181
AC002429.5	-0.849256306	-0.37983536	-0.591197184	-0.602320677
AC002451.3	-0.623306585	-0.623485555	-0.589206578	-0.501564286
AC002454.1	0.295040533	0.541025553	0.487206739	-0.061676387
AC002456.2	-0.949854719	-0.897036193	-1.199835589	-0.495486653
AC002463.3	-1.812861849	NA	NA	NA
AC002464.1	NA	NA	NA	NA
AC002465.2	NA	NA	NA	NA
AC002467.7	0.225245144	0.074331972	0.285126477	0.051310439
AC002472.11	-1.488553803	-1.520960045	NA	NA
AC002480.2	-1.024213118	-1.812143429	NA	-1.321025411
AC002480.3	-0.253800058	-0.786498745	-0.920956403	-0.119414573
AC002480.4	-0.168882504	-0.611716816	-0.763752121	-0.306547749
AC002480.5	-1.144718934	NA	NA	-1.85423449
AC002486.2	-1.078719002	NA	-1.485159796	NA
AC002486.3	-0.654669498	-0.670599583	NA	-0.588333549
AC002511.2	NA	NA	NA	NA
AC002511.3	NA	NA	-1.739941551	NA
AC002519.6	-1.901802932	NA	-1.878065309	-1.394782655
AC002519.8	-1.038791168	-1.078274418	-1.389419918	-0.714343143
AC002523.1	NA	NA	NA	NA
AC002530.1	NA	NA	NA	NA
AC002539.1	-1.760364694	NA	-1.454670474	-1.232794164
AC002539.2	NA	NA	NA	NA
AC002542.2	-1.096067915	-0.578887705	NA	NA
AC002543.2	-0.050215216	-0.172516677	-0.173248847	-0.029945882
AC002550.5	-1.282542007	-1.230597484	-1.020556253	-1.528770944
AC002550.6	0.284067256	0.257884674	0.144094078	0.304264609
AC002551.1	-0.087299724	-0.255365335	-0.071752196	0.171732179
AC002553.4	-0.126345415	-0.573192066	-0.079810723	-0.10722942
AC002558.1	NA	NA	NA	NA
AC002978.1	-0.896870437	NA	NA	NA
AC002979.1	-0.718972008	NA	-0.739941551	NA
AC002981.1	NA	NA	NA	NA
AC002984.2	-0.581100404	-0.062480145	-0.256528773	-0.282009983
AC002985.3	NA	NA	NA	NA
AC003001.1	NA	NA	NA	NA
AC003002.4	NA	NA	NA	NA
AC003002.6	-1.062105236	-1.376115766	-1.791068226	-0.909377457
AC003003.5	-1.491507938	-2.146386138	NA	-1.716072921
AC003005.2	-0.965145821	-0.822736503	-0.929889358	-0.479286161
AC003005.4	NA	NA	NA	NA
AC003006.1	-0.361872464	-0.608810776	NA	-0.665022172
AC003006.7	NA	NA	NA	NA
AC003009.1	-1.646834722	NA	NA	NA
AC003045.1	NA	NA	NA	NA
AC003075.4	-1.67775422	-1.474399641	NA	NA
AC003080.4	-0.565509868	-0.647989878	-0.458826279	-0.016989996
AC003084.2	NA	NA	NA	-1.369012978
AC003088.1	-0.978366824	-1.465056849	-0.626735841	-1.440951664
AC003090.1	-1.32550723	-1.325123228	-1.506916385	-1.557114572
AC003092.1	-0.566622709	-1.134397109	-0.973648952	-1.064755437
AC003092.2	-1.387380267	-1.323647184	NA	NA
AC003101.1	-0.706472914	NA	-1.37612047	-0.676800489
AC003104.1	0.18302345	0.154738153	0.141071077	0.150625358
AC003658.1	NA	NA	NA	NA
AC003664.1	NA	-1.385280166	NA	NA
AC003666.1	NA	NA	NA	NA
AC003681.1	-0.031524242	0.010228548	0.002701765	0.027841507
AC003682.16	-0.941606667	-1.338954301	-0.491702721	-0.703135695
AC003682.17	-1.618859001	-1.350235247	NA	NA
AC003688.1	NA	NA	NA	NA
AC003956.1	-0.722158346	-1.225762323	-0.990361554	-0.314356482
AC003958.2	NA	NA	NA	NA
AC003958.6	NA	NA	NA	NA
AC003968.1	NA	NA	NA	NA
AC003973.1	NA	NA	NA	NA
AC003973.3	-2.261067615	NA	NA	NA
AC003973.4	NA	NA	NA	NA
AC003973.5	NA	NA	NA	NA
AC003984.1	-2.369083105	NA	-2.370979248	NA
AC003985.1	NA	NA	NA	NA
AC003986.5	-1.655292877	-1.13429612	-1.622466089	NA
AC003986.6	-1.160050605	-0.951567263	-1.64050287	-1.96377373
AC003986.7	NA	-1.610557745	-0.952353888	-1.480659805
AC003988.1	-1.499973247	-1.436240164	NA	NA
AC003989.3	-0.286283094	-0.927425132	0.046425114	-0.97423317
AC003989.4	-1.052733767	-0.662826396	-1.159301308	-0.973344931
AC003991.3	-1.540257618	-0.976396398	-1.205493991	-0.797899191
AC004000.1	-0.52651395	-0.415541771	NA	0.025383733
AC004000.2	NA	NA	NA	NA
AC004004.2	NA	NA	NA	NA
AC004006.2	-0.741801191	-0.79018598	-0.392291087	NA
AC004009.1	NA	-1.580011365	NA	NA
AC004009.2	-1.672641985	NA	-1.570414235	NA
AC004009.3	-1.263063669	NA	NA	-1.48410678
AC004012.1	-1.060930608	-1.100823587	-1.140819046	NA
AC004014.3	NA	NA	NA	NA
AC004016.1	NA	NA	NA	NA
AC004019.10	-0.820324126	-0.612026741	-0.738851048	-0.247365409
AC004019.13	-1.462964419	-1.161943816	-1.006626288	-0.784300675
AC004022.7	NA	NA	NA	NA
AC004022.8	NA	-1.70206953	NA	NA
AC004051.2	-0.487390101	-0.691819444	-0.639961622	-0.527767761
AC004052.1	NA	NA	NA	NA
AC004053.1	-1.749428588	-1.870972329	-2.212405448	-1.493475869
AC004053.2	NA	NA	NA	NA
AC004054.1	NA	NA	-1.13964662	-0.354042059
AC004057.1	-1.005096333	NA	-0.940736653	-1.142545812
AC004062.2	NA	-1.27898137	NA	-1.55590618
AC004063.1	-1.456959335	NA	NA	-1.378541037
AC004066.2	-1.714684974	NA	-1.618482153	NA
AC004066.3	NA	NA	NA	NA
AC004067.5	-0.09119223	-0.074977074	-0.286314405	0.014506381
AC004069.1	NA	NA	-1.761192975	NA
AC004069.2	-0.358734054	-0.526388475	-0.762506175	NA
AC004070.1	NA	NA	NA	NA
AC004074.4	NA	NA	NA	NA
AC004076.5	0.403380553	0.26172719	0.367798774	0.39154467
AC004076.7	-0.414240813	-0.725369362	-0.832286812	-0.487230849
AC004076.9	-0.617622927	-0.655910077	-0.653440433	-1.175425571
AC004079.1	NA	-0.916579686	NA	NA
AC004108.1	-0.371856685	NA	NA	NA
AC004112.4	-0.799672172	-0.404759821	-0.573863779	-0.482628066
AC004112.5	NA	NA	NA	-1.09651282
AC004112.7	-1.553235737	NA	-1.280941657	NA
AC004125.3	NA	-1.656583558	NA	-1.364454293
AC004129.7	NA	NA	NA	NA
AC004129.9	NA	NA	NA	NA
AC004156.3	-1.775480083	-1.532293525	-1.762467442	-1.784893905
AC004158.1	NA	NA	NA	NA
AC004158.3	-0.760454715	-0.762264372	-0.685269121	-1.005996944
AC004159.1	NA	NA	NA	NA
AC004160.4	-1.259989005	-0.735766027	-1.160763272	-0.303680727
AC004221.2	-1.363357859	-1.140187076	-1.333595307	-1.308525507
AC004231.2	NA	-1.610696036	NA	NA
AC004237.1	-1.072809096	-1.142104126	-0.796695263	-0.879122811
AC004257.1	-1.180525177	NA	-0.473015558	-0.879812811
AC004381.6	0.378507547	0.442519412	0.385175051	0.334280398
AC004381.7	-0.845992436	-0.322308917	-0.477437759	0.095452527
AC004383.3	-0.440217708	0.022676284	-0.396148216	-0.597200889
AC004386.3	NA	NA	NA	NA
AC004386.4	-0.450591706	-0.499393532	-0.447878868	-0.627166268
AC004448.2	-1.434975352	-1.185424999	-1.455944895	-1.055527059
AC004448.5	NA	NA	-1.857693781	-2.004707923
AC004449.6	-0.944354887	-1.336026324	-1.049765685	-1.025694575
AC004453.1	NA	NA	NA	NA
AC004453.8	0.955245607	0.802571474	0.794634179	0.744361107
AC004458.1	NA	NA	NA	NA
AC004460.1	NA	NA	NA	NA
AC004461.4	-1.077043389	-1.375756697	-1.313587902	-1.351651511
AC004470.1	NA	NA	NA	NA
AC004471.10	-1.246753974	-1.565838124	-1.606031449	-1.910649596
AC004471.9	-1.274403595	-1.43923531	-1.178200774	-1.202256027
AC004477.1	NA	NA	NA	NA
AC004485.3	NA	NA	NA	NA
AC004490.1	-2.175478852	-2.207885094	-1.860227238	-2.183779909
AC004492.1	NA	NA	NA	-0.466628513
AC004510.3	NA	NA	NA	NA
AC004520.1	NA	NA	NA	NA
AC004535.2	NA	NA	-1.360529197	-1.398592806
AC004538.3	-1.067989125	-0.710286596	-0.636334816	-0.581636602
AC004540.4	0.380929732	0.93584283	0.899586908	0.506206709
AC004540.5	0.728763744	1.008637895	1.022042813	0.683679281
AC004541.1	NA	NA	NA	NA
AC004543.1	NA	NA	NA	NA
AC004543.2	-0.703011783	-0.522424388	-1.281334151	NA
AC004549.6	-1.493488974	-1.749859287	-1.317007151	-1.266948441
AC004552.1	NA	NA	NA	NA
AC004593.3	-1.411483502	-1.146795494	-1.156109401	-1.009856115
AC004595.1	NA	-0.674312325	-0.413277789	NA
AC004603.4	NA	NA	NA	NA
AC004623.2	NA	NA	NA	NA
AC004623.3	-2.065812898	NA	NA	-1.716974168
AC004637.1	NA	NA	NA	NA
AC004655.1	NA	NA	NA	NA
AC004656.1	NA	NA	NA	-0.644875084
AC004673.1	NA	-0.63968337	0.018520487	NA
AC004691.1	-0.636091199	NA	-0.872635712	-0.894876577
AC004691.5	-0.829611525	-0.845442807	-0.671120948	-0.77265981
AC004692.4	NA	NA	NA	NA
AC004692.5	-1.0991042	NA	NA	NA
AC004699.1	NA	NA	NA	NA
AC004702.2	-1.00900662	NA	-0.715940185	NA
AC004744.3	NA	NA	-1.235485889	NA
AC004745.1	NA	NA	NA	NA
AC004754.3	-1.498595545	-1.573052781	NA	-1.609248532
AC004769.1	NA	NA	NA	NA
AC004775.5	-0.831594145	-0.904355655	-0.818247524	-0.650977998
AC004791.2	NA	NA	NA	NA
AC004812.1	-0.192598611	-0.212866437	-0.684424224	-0.690829137
AC004813.1	NA	NA	NA	NA
AC004816.1	NA	-0.602960563	NA	NA
AC004819.1	NA	NA	NA	NA
AC004824.1	NA	NA	NA	NA
AC004824.2	NA	NA	NA	NA
AC004832.1	-0.108020784	-0.811844336	-0.75570047	-0.478725727
AC004837.1	0.636398131	-0.377001949	0.040054675	0.467145482
AC004837.3	NA	NA	NA	NA
AC004837.4	NA	NA	NA	NA
AC004837.5	0.621908711	0.506185336	0.371863548	0.577024022
AC004840.8	-1.594414185	-0.98109465	-1.523845131	-1.530250045
AC004846.1	-0.082458388	-0.353195575	0.116717229	0.338743025
AC004850.1	NA	-0.371636286	-0.687435638	-0.164529333
AC004853.1	NA	NA	NA	NA
AC004854.4	-0.635522827	-0.690197851	-0.501185885	-0.996041613
AC004854.5	NA	-0.660492555	-1.257133212	NA
AC004862.6	-2.04325366	NA	-2.020861214	NA
AC004866.1	NA	NA	NA	NA
AC004866.3	NA	NA	NA	NA
AC004869.2	NA	NA	NA	NA
AC004869.3	NA	NA	NA	NA
AC004870.3	-1.534786476	NA	NA	NA
AC004870.4	NA	NA	NA	NA
AC004870.5	NA	NA	NA	NA
AC004875.1	NA	NA	NA	NA
AC004878.2	NA	NA	NA	NA
AC004878.8	NA	NA	NA	NA
AC004893.10	-0.277892884	-0.580758207	-0.334019428	-0.088049347
AC004893.11	0.08673549	0.00270656	0.060603166	0.226858934
AC004895.1	-0.65347046	NA	NA	NA
AC004895.4	-1.056791594	-1.182197617	-1.14697449	NA
AC004899.3	NA	NA	NA	NA
AC004901.1	NA	-1.289623114	-1.560143011	-1.55072518
AC004906.3	NA	NA	NA	NA
AC004911.2	NA	NA	NA	NA
AC004915.1	-0.570554321	NA	NA	NA
AC004920.2	-0.355791539	-0.960783349	-0.442340634	-0.421356829
AC004920.3	NA	NA	NA	NA
AC004924.1	NA	NA	NA	NA
AC004932.1	-0.023750259	-0.244792603	-0.115449089	0.138050932
AC004938.5	NA	NA	-1.202858501	NA
AC004941.3	-2.232200002	-2.193693022	-1.735614783	-1.578805269
AC004941.5	-0.82967319	NA	-0.783840421	NA
