gene	IWP	HED	HER	CD184
ABHD14A	1.871548809	1.258689956	1.098816469	1.760417938
ABHD14B	2.395636934	2.254491599	2.594351025	2.271326331
ABHD15	-0.879832148	-1.081511332	-1.39706014	-1.089417379
ABHD16A	-7.842840708	NA	-7.671036104	NA
ABHD16B	NA	NA	NA	NA
ABHD17A	-3.298561757	-3.778428236	-4.235398454	-2.559539507
ABHD17B	1.495159538	2.07251463	1.87055172	1.269904355
ABHD17C	-1.499944847	-0.419409601	-0.53017941	-1.933239454
ABHD2	1.698385977	0.985926861	1.180604248	1.768772811
ABHD3	0.096843799	0.650890238	0.266766141	0.606122173
ABHD4	4.688839556	5.029154987	4.865335827	4.513820228
ABHD5	2.563095379	2.63525814	2.679661006	2.809669778
ABHD6	1.932351876	0.997520129	1.048537333	1.606173056
ABHD8	-2.465250674	-3.624464909	-4.006344812	-2.948475563
ABI1	5.306173775	5.851024388	5.753032361	5.354783073
ABI2	2.687963448	2.71699122	2.757707511	3.081016485
ABI3	3.748507988	2.295933628	2.122930552	3.428262948
ABI3BP	-3.171417657	-2.370316302	-2.853342159	-2.312433365
ABL1	2.106633919	1.375090911	1.578414246	2.193554347
ABL2	2.75722878	3.348493009	3.216095448	4.285438627
ABLIM1	2.755840962	3.056259461	3.379394287	4.699478842
ABLIM2	-4.719835967	-5.999182846	-4.940526303	-3.791028497
ABLIM3	0.561268761	-0.473288967	-0.392288018	2.329457623
ABO	-1.164491678	-2.597911636	-3.527642094	-1.334462165
ABR	-1.91904686	-2.527949901	-3.190122424	-2.001571296
ABRA	-0.336523905	1.095601827	0.700055888	-0.899229488
ABRACL	6.996891391	7.774776229	7.73854979	7.522407254
ABT1	5.440713259	5.542515728	5.514798886	5.286646854
ABTB1	-0.481242134	-1.366861229	-1.337612592	0.251614242
ABTB2	-1.942169755	-2.700320375	-2.050503939	1.330376339
AC002456.2	-3.176890104	-2.896390011	-3.922485906	-1.642361227
AC003006.1	-1.249167306	-1.955409776	NA	-2.266536077
AC003688.1	NA	NA	NA	NA
AC005702.1	1.496638375	1.649741896	-1.01325137	0.402062507
AC007040.2	NA	NA	NA	NA
AC010323.1	-2.531682203	NA	NA	NA
AC010522.1	0.062529816	-0.388770009	-0.822565373	0.225085542
AC011499.1	NA	NA	NA	NA
AC013477.1	-3.019476045	-0.475334563	NA	-2.37534721
AC018512.1	NA	-1.407158583	NA	NA
AC019117.1	NA	-5.531279895	-5.369399318	-5.153693685
AC020922.1	NA	NA	NA	NA
AC022384.1	NA	NA	NA	NA
AC026954.6	-6.425245267	-3.431114491	-3.69130945	-3.427314129
AC034228.3	NA	-4.67238292	-3.510502343	NA
AC040162.1	NA	NA	NA	NA
AC053503.6	NA	NA	NA	NA
AC068831.6	-1.894629139	-2.651636627	-2.537572758	-1.810966936
AC068946.1	-1.324745713	NA	-2.026137379	-2.170996024
AC078927.1	NA	NA	NA	NA
AC079741.2	0.617941657	0.010169338	-0.42864837	-0.496235994
AC091167.2	NA	NA	NA	NA
AC092854.1	NA	NA	NA	NA
AC093668.1	NA	NA	NA	NA
AC098650.1	-2.498129644	NA	-2.069706442	-1.019004843
AC105052.1	NA	NA	NA	NA
AC107871.1	NA	NA	NA	NA
AC124312.1	-0.970608698	-1.090104559	-0.330357942	-0.329008443
AC131160.1	NA	NA	NA	NA
AC138647.1	NA	NA	NA	NA
AC138969.1	NA	NA	NA	NA
AC144573.1	-2.673701208	NA	-2.236060448	NA
AC231656.1	NA	NA	NA	NA
AC245033.1	NA	NA	NA	NA
ACAA1	-0.190134762	-0.62340721	-0.583159597	-0.178531061
ACAA2	4.525809357	4.611021948	4.547011611	4.475938315
ACACA	-0.082876977	-0.49597376	-0.272530519	-0.097286511
ACACB	-1.960044194	-1.464559072	-1.511073053	-1.753848548
ACAD10	2.696921795	2.337590567	2.413160792	2.498539192
ACAD11	-4.192595666	-3.180893704	-3.470148408	-4.18274425
ACAD8	2.939707488	2.573428439	2.441859617	3.160586446
ACAD9	4.416594814	3.848526112	3.867320284	4.085192297
ACADL	-3.291195393	-6.626847985	-5.751099785	-5.519315024
ACADM	4.741246237	5.298188102	5.287968279	4.370043804
ACADS	0.009423959	-0.7113307	-0.899269688	0.140158703
ACADSB	1.892989536	1.835009922	1.90352154	1.926605903
ACADVL	3.231938252	2.782051207	2.853394817	3.857836005
ACAN	-4.134929097	-5.779868174	-5.923823062	-5.315595656
ACAP1	-2.067868208	-1.975132382	-1.961139352	-3.349518425
ACAP2	2.256012975	2.483227749	2.685369529	2.64340801
ACAP3	-2.98510378	-3.740558576	-4.085759711	-2.201253817
ACAT1	4.013902316	4.426973412	4.402494221	3.766651064
ACAT2	6.515128927	6.817717095	6.75703133	6.255641093
ACBD3	2.392053952	2.702271072	2.741771462	2.729841947
ACBD4	-1.202162918	-1.343658213	-1.379920834	-0.710309621
ACBD5	3.1456044	3.167808164	3.24323757	3.278147961
ACBD6	2.332562246	2.237281725	2.430063446	2.444967011
ACBD7	-1.617346866	-0.617852551	-0.748349608	-2.758343422
ACCS	2.686378659	2.625986345	2.665879013	2.907475255
ACCSL	NA	-4.569002956	NA	-5.311116084
ACD	3.221107	2.404710163	2.329974887	3.133798258
ACE	-0.801388973	-1.669944597	-1.578982559	-1.514282753
ACE2	-2.239901978	-3.381109052	-3.804177333	-3.865373258
ACER1	-6.585592485	-6.025998799	-2.937177147	-6.3371251
ACER2	-0.501064384	-0.462081309	0.179854106	2.013361584
ACER3	2.09470652	1.816113542	2.101472072	2.574097696
ACHE	-1.168565885	-1.562555161	-1.449375399	-2.653636289
ACIN1	2.562717329	2.951260423	3.014118217	2.691472424
ACKR1	2.030825184	2.243933863	2.461147063	-1.070903306
ACKR2	-1.126010318	-1.230837829	-1.082371847	-3.160808051
ACKR3	6.069798574	5.379065237	4.734596723	7.201877072
ACKR4	-6.021940947	-5.115204427	-5.216517416	-4.769616154
ACLY	6.994338522	6.539930478	6.56987684	7.01476803
ACMSD	-0.815705076	-1.993768122	-1.638450446	-0.948610884
ACO1	3.807373913	2.936574183	2.952271391	3.547708684
ACO2	5.177281615	4.655116287	4.64666506	5.55386611
ACOT1	-2.210500284	-1.89834697	-1.671139852	-2.248799966
ACOT11	0.838565926	1.320534978	1.336541102	1.1638499
ACOT12	-5.70102637	-2.981667169	-3.600670705	-2.410956575
ACOT13	3.614607836	3.887283349	3.792013697	3.692676454
ACOT2	0.296293807	0.21206974	0.294535482	-0.397147401
ACOT4	-1.988047461	-2.77676717	-2.039860556	-3.338717975
ACOT6	-3.819272918	-5.800206746	-3.611836403	-4.837153402
ACOT7	4.192273886	3.809964124	3.683384828	4.216031764
ACOT8	2.500521904	2.222014509	2.296601784	2.198813936
ACOT9	4.344980152	4.531060046	4.353421095	4.899885533
ACOX1	2.988880631	2.49435072	2.349928295	2.60595912
ACOX2	2.186870043	0.451939644	0.35327314	0.272926454
ACOX3	3.011539017	2.582652693	2.45379533	3.485722179
ACOXL	-6.879037862	-5.052080206	-4.396607306	-4.67751535
ACP1	5.488337068	6.299399107	6.251341379	5.324554051
ACP2	3.975684493	4.25393547	4.233433673	4.487770411
ACP5	3.414485527	1.501613407	1.534760075	0.114281366
ACP6	0.018917975	-0.166396623	0.059234673	0.807474845
ACR	-6.830630666	-4.140522734	-5.66342748	-5.847999437
ACRBP	2.8389179	2.627661242	2.447756142	1.123507455
ACRV1	-1.079190009	-0.357101295	-0.936010253	-1.452718195
ACSBG1	-5.25750534	-5.454841401	-4.704435889	-4.632427494
ACSBG2	-2.642519656	-3.678947921	-3.988016762	-3.824916005
ACSF2	0.532239517	0.330191085	0.422056173	-0.006655886
ACSF3	1.700900511	0.629992541	0.728003217	1.72768239
ACSL1	-1.162444849	-2.716138658	-2.786416888	-1.056942907
ACSL3	3.649554356	2.612035829	2.715784903	3.726435606
ACSL4	3.306791815	2.982590015	3.121253031	3.734958467
ACSL5	0.181494628	-0.051217676	-0.016331636	0.020085296
ACSL6	-4.695336164	-3.469782173	-3.177535384	-4.99341562
ACSM1	-1.422452755	0.643626208	0.147582106	1.857874058
ACSM2A	-4.906870939	-5.891923562	-6.333025911	-5.028954084
ACSM2B	-6.584529594	-8.816195874	-7.099961645	-5.120050547
ACSM3	1.347558132	3.64071702	3.085932956	4.711512253
ACSM4	-7.196291997	-5.218560674	-6.048413559	NA
ACSM5	-5.606910658	NA	-7.612692757	-6.792648574
ACSM6	-1.693475305	-1.126581697	-1.434348237	-2.449960033
ACSS1	-4.449726701	-3.15730727	-3.210096793	-1.210779685
ACSS2	2.509249705	1.584272923	1.615487901	2.110236586
ACSS3	-0.028654329	-0.344458091	-0.087251181	-0.611277341
ACTA1	0.350283045	-0.556996539	-0.967423886	0.417619541
ACTA2	1.516202316	2.244243521	1.856213866	1.937636269
ACTB	11.59271971	11.59991798	11.57291479	12.11361669
ACTBL2	NA	NA	NA	-6.077035349
ACTC1	3.165314165	2.388731988	0.981896364	2.873498137
ACTG1	10.39754679	10.81854853	10.7272334	11.03066393
ACTG2	-2.72689589	-3.683922415	-4.96515532	-1.718683265
ACTL10	-5.857400915	-6.808038019	NA	-5.226227426
ACTL6A	5.278690931	5.751872279	5.702104686	4.757390413
ACTL6B	NA	NA	-5.328152991	-6.66680101
ACTL7A	-5.63370314	NA	-6.19606238	-4.404611804
ACTL7B	NA	-6.745284578	NA	NA
ACTL8	NA	-4.40878337	-5.575443722	NA
ACTL9	NA	NA	NA	NA
ACTN1	3.245007118	2.555532894	2.483295917	3.275584569
ACTN2	0.494633083	-0.402277029	-1.12228193	-1.639758061
ACTN3	-4.925383298	-4.848661452	NA	-6.409048664
ACTN4	2.600165421	2.118840305	2.231804226	3.64038591
ACTR10	5.114150833	5.633048482	5.477805487	5.188027571
ACTR1A	5.383125862	4.982448299	4.917808391	5.453410432
ACTR1B	3.686688457	3.441990045	3.437615712	3.767929119
ACTR2	6.726666213	6.377438042	6.190494848	7.016140889
ACTR3	4.385898345	4.210913655	4.234680718	4.95220672
ACTR3B	-0.41667294	-0.262733404	-0.120805492	-0.779616018
ACTR3C	-3.914935196	-3.067565094	-3.326708075	-3.325837405
ACTR5	1.534845965	1.640822269	1.585476002	1.412642303
ACTR6	2.981223905	3.997263663	3.897433834	3.002761575
ACTR8	3.798612445	3.249896084	3.157147018	3.582622583
ACTRT1	-4.792031259	NA	-3.87164994	-3.198866029
ACTRT2	NA	NA	NA	NA
ACTRT3	0.179878897	-0.424341664	-0.526638646	0.377333832
ACVR1	1.581888496	1.18899937	1.421907035	1.566019379
ACVR1B	1.382467201	1.320912879	1.495444747	0.678459569
ACVR1C	-5.257650802	-6.00382216	-6.04713648	-5.163347089
ACVR2A	3.48639684	3.639993857	3.548945254	3.515217091
ACVR2B	3.942179587	3.146118261	3.189706378	3.273592051
ACVRL1	3.658001272	4.179025473	4.148092932	4.367596203
ACY1	-0.699488874	-2.279446009	-2.046447005	-1.693771119
ACY3	0.01072329	NA	NA	-2.421396952
ACYP1	2.647395874	3.241316619	3.237568581	2.211292471
ACYP2	0.616662274	1.07988169	0.975665878	0.995292307
ADA	3.97743827	3.917924844	4.185587954	5.241331515
ADAD1	-6.486947969	NA	NA	NA
ADAD2	-5.6812531	NA	NA	NA
ADAL	2.167696879	2.601599839	2.453579715	1.791515547
ADAM10	5.025183635	5.141517892	5.07025701	5.626361763
ADAM11	-2.889768118	-3.718475642	-3.80710074	-3.804347494
ADAM12	3.175482542	3.346814081	3.200111047	4.280731025
ADAM15	2.286945614	0.935253062	0.779060673	3.079759465
ADAM17	3.924281066	3.842076964	3.808269826	4.391258125
ADAM18	-5.836987171	-5.530847503	-7.561559538	-7.345853904
ADAM19	4.086654543	4.276260764	3.974250518	5.662724592
ADAM2	-7.426236292	-6.326518531	-5.573523875	NA
ADAM20	-2.832936825	-3.96088184	-3.432519846	-1.951328475
ADAM21	-1.620783417	-1.820278808	-0.975130123	-1.604406729
ADAM22	-1.824593742	-1.267163187	-0.96897246	-0.431777253
ADAM23	-1.449808982	-1.798817301	-1.379837177	-0.748523606
ADAM28	-3.511968576	-1.728792491	-1.070625775	-1.78638656
ADAM29	-5.67074494	-5.801627702	-5.945908519	-6.507897576
ADAM30	NA	NA	NA	NA
ADAM32	-5.942873591	-5.594116538	-5.530937492	-6.547186991
ADAM33	-4.029324428	-4.238550543	-4.528040397	-2.241639234
ADAM7	NA	-6.367482366	-7.790564289	-7.926205377
ADAM8	-3.75837235	-2.899432464	-3.230732331	-4.730872406
ADAM9	2.771728926	2.078717058	1.846902385	3.236557926
ADAMDEC1	NA	-4.881085881	-6.902580358	NA
ADAMTS1	2.259765825	2.109800372	1.676358195	2.507462981
ADAMTS10	-0.826739723	-1.52355	-2.010126678	-1.647131841
ADAMTS12	2.27557288	1.924840006	1.707321898	1.990459799
ADAMTS13	-1.335896891	-1.471983282	-1.763053115	-1.810502688
ADAMTS14	-4.535829824	-5.707505299	-4.242470242	-3.029193253
ADAMTS15	-3.506852508	-4.107762297	NA	-2.818735882
ADAMTS16	-3.697020412	-7.185665809	-5.4492916	-4.684605884
ADAMTS17	-2.96542333	-3.353500925	-4.138670586	-3.491770268
ADAMTS18	-2.633236789	-2.186698647	-3.147066582	-2.501939887
ADAMTS19	-1.076328044	-0.258220139	0.081684252	-1.942798861
ADAMTS2	-2.852140443	-3.352358372	-3.65421811	-2.921090732
ADAMTS20	-2.566351608	-2.023490281	-3.643428991	-1.928476416
ADAMTS3	1.068690123	0.618987237	0.93896583	-0.883042596
ADAMTS4	-0.414161592	-0.41410878	-0.628339105	1.812969611
ADAMTS5	-4.54400411	-3.522850002	-5.474747206	-2.464188006
ADAMTS6	1.348439633	1.634215152	1.807611047	1.539935458
ADAMTS7	-2.529850563	-3.24813657	-2.594411458	-1.692067843
ADAMTS8	-3.907766165	-5.034811744	-7.803379786	-4.992991099
ADAMTS9	3.040621452	2.412434705	2.097798217	4.905180417
ADAMTSL1	-4.534284725	-2.348162168	-3.38341674	-1.374082785
ADAMTSL2	-3.698182368	-3.940206952	-4.264410802	-4.232088741
ADAMTSL3	-3.930921958	-5.679041766	-4.964833094	-4.53865615
ADAMTSL4	-2.704092801	-1.194993655	-1.139048821	-1.043789076
ADAMTSL5	-4.779528969	-6.526262024	-5.479464645	-5.333135996
ADAP1	-6.215595355	-4.94335794	-5.396068046	-6.101448385
ADAP2	-2.119972233	-4.066359415	-3.761161057	-4.543021201
ADAR	5.188614901	4.841634117	4.93183311	5.204356003
ADARB1	-0.565125027	-1.279736904	-1.675881298	-1.200936548
ADARB2	-1.585492828	-2.347973515	-2.038521267	-1.426764361
ADAT1	3.452059213	3.324285454	3.380033256	3.959055675
ADAT2	2.226749282	2.764222142	2.925616054	2.225682587
ADAT3	-6.216088249	-5.071532061	-5.783048906	-3.90102664
ADCK1	1.428786429	1.487337153	1.707774048	1.541303025
ADCK2	-0.575907561	-0.660391672	-0.406175451	-0.355002977
ADCK5	1.003282146	-0.948126419	-0.351836771	1.137973528
ADCY1	-2.118793151	-1.398125365	-1.087310902	0.051524688
ADCY10	-0.801832167	-1.481969033	-1.270038659	-1.286157464
ADCY2	-6.479804979	-6.391725098	-6.675158574	-5.082244867
ADCY3	0.600870926	1.119805566	1.076199162	0.709077962
ADCY4	3.170066871	2.178107334	2.441509433	3.549725233
ADCY5	-3.676837022	-5.964948086	-5.225109047	-3.675808588
ADCY6	1.895709202	1.417484091	1.418616315	2.543515247
ADCY7	-1.762947357	-3.250354642	-2.893023818	-2.667532777
ADCY8	-4.121722385	-3.576907498	-4.164900763	-6.370403034
ADCY9	-3.422329443	-3.161565553	-2.968172017	-1.87852145
ADCYAP1	-7.815594582	-3.41697699	-2.347844444	-3.92473853
ADCYAP1R1	-5.119700624	-2.987484848	-3.958496485	1.670033002
ADD1	4.392857415	3.83945417	3.778147407	4.617547277
ADD2	1.373271494	2.188183552	2.330905781	1.249175816
ADD3	6.232726376	5.138661372	5.076212179	5.193554567
ADGB	-7.873962083	NA	-6.666560853	-7.179564623
ADGRA1	-7.755628416	NA	NA	NA
ADGRA2	1.51193082	1.32871532	1.411947756	1.842331543
ADGRA3	1.415521888	1.556644039	1.926664724	0.949875859
ADGRB1	-7.84762205	-6.788888285	-5.531444238	-6.955730713
ADGRB2	-5.433081984	-6.310802579	-8.695132494	-6.146712032
ADGRB3	-3.249639158	-4.82977533	-3.250506042	-3.033064999
ADGRD1	-1.306406784	-6.888212713	-6.528505064	-2.884737102
ADGRD2	NA	-6.013239087	-6.153287156	-6.881841773
ADGRE1	-4.772033018	-6.558533144	-5.235032549	NA
ADGRE2	-0.80998393	0.224272498	0.359845096	-3.493316245
ADGRE3	NA	-4.527556432	-6.130465941	NA
ADGRE5	2.994392428	3.027700699	3.031972096	3.084241425
ADGRF1	-9.520082685	-8.300665586	NA	-7.003044784
ADGRF2	-3.182436926	-5.874749167	-6.831801549	-3.953837563
ADGRF3	-3.778304202	-2.826018943	-2.68539642	-3.405257792
ADGRF4	-5.637598632	NA	-7.378593016	-3.755346112
ADGRF5	3.885720718	3.714608546	3.81608338	6.099824974
ADGRG1	-1.626377797	-2.223634825	-1.693047546	0.831445452
ADGRG2	-2.604571406	-2.282374575	-1.922056851	-2.48427554
ADGRG3	-2.741994059	-0.622724162	-0.38428943	-3.324635244
ADGRG4	NA	NA	NA	NA
ADGRG5	-2.347380491	-1.686510677	-2.02629075	-4.046227629
ADGRG6	2.76770585	0.208757932	0.162179995	0.772665047
ADGRG7	-5.371063812	NA	NA	-5.838509144
ADGRL1	-0.126261416	-0.068182451	0.285327634	-0.159805753
ADGRL2	2.988226199	2.602571443	2.289020512	4.129998571
ADGRL3	-1.875313882	-2.625286669	-2.209367382	-1.223817773
ADGRL4	5.480365661	6.321320292	6.14768184	7.479170659
ADGRV1	-1.636023562	-1.228405967	-1.277203423	-1.342120772
ADH1A	-5.037346499	-4.224109737	-4.517924963	-3.909145311
ADH1B	-5.850004144	-5.508528075	-6.095467718	NA
ADH1C	-6.949825613	NA	NA	NA
ADH4	-6.2100378	-6.78947654	-5.0050856	-5.889250563
ADH5	5.295626946	5.3537113	5.21496769	4.919540424
ADH6	-3.154773898	-3.024117347	-3.168944448	-3.573699504
ADH7	-7.523684632	NA	NA	NA
ADHFE1	1.393528068	1.825607102	1.952128285	1.593327627
ADI1	0.71913812	0.267881792	0.107348111	0.790731815
ADIG	NA	-5.834820621	-4.723882116	-4.641543583
ADIPOQ	NA	NA	NA	NA
ADIPOR1	5.045198699	4.517630724	4.521570777	5.62382167
ADIPOR2	1.481071422	2.481309643	2.609382021	2.512365657
ADIRF	NA	NA	NA	NA
ADK	4.283394696	4.54781499	4.596608316	3.602124941
ADM	0.93799791	0.953902715	0.470081291	3.684991162
ADM2	-3.51130605	-3.891235067	-5.441042287	-6.90231746
ADM5	-1.626628025	-0.519501549	-1.370076426	-0.127392132
ADNP	5.09556463	5.694863745	5.769664059	4.97767053
ADNP2	2.732901541	2.570160588	2.704346567	2.942864453
ADO	0.345268426	1.161767462	1.242305048	0.16724838
ADORA1	-2.80839876	-4.870267107	-4.304402559	-2.974353456
ADORA2A	-5.210382833	-7.562912136	-7.807802521	-6.259382059
ADORA2B	3.172262666	3.459865777	3.286439237	3.177418702
ADORA3	-2.904557874	-1.582145253	-1.751323115	-3.461342471
ADPGK	2.319016315	2.235344021	2.515261466	2.970786422
ADPRH	1.535633982	0.97563107	0.96500103	1.699227257
ADPRHL1	-1.461948106	-1.75015121	-2.128291602	-1.821484274
ADPRM	3.249876141	3.874574165	3.760722258	2.600523471
ADRA1A	NA	NA	NA	NA
ADRA1B	NA	-4.842956504	NA	-6.207822239
ADRA1D	-5.767275097	-3.761370237	-4.160903745	-4.599188627
ADRA2A	1.183632356	-0.413498455	-0.189090532	-3.7295265
ADRA2B	-3.766360772	-6.248105933	-3.600136925	-5.439298753
ADRA2C	-4.032158299	-4.064704706	-3.762333863	-4.428337487
ADRB1	NA	-5.634604947	-4.626803475	-5.58928898
ADRB2	-1.492764143	-2.742156565	-3.451367591	-2.80727375
ADRB3	0.167633056	-1.950969626	-2.383881937	-2.571580869
ADRM1	5.10086392	4.234441401	4.247018645	5.092475407
ADSL	5.61299209	6.08614062	6.075401248	5.348563477
ADTRP	-3.664878276	-3.470697586	-5.092708271	-2.98947315
AEBP1	1.204654181	0.848551029	0.839314205	1.683580165
AEBP2	2.875721208	4.496382439	4.552851804	3.202447031
AEN	2.556236801	2.041802305	2.088311727	1.506753246
AFAP1	0.904962339	0.367084207	0.576946742	1.541718733
AFAP1L1	4.850749958	4.361804604	4.517739353	5.806953455
AFAP1L2	3.87712007	3.02494587	2.857495578	3.303479079
AFF1	2.607112484	2.350282398	2.380360439	3.045828918
AFF2	-3.162751968	-2.822844994	-3.028307326	-4.209358045
AFF3	-3.649485249	-2.615008675	-1.894542994	-4.270645171
AFF4	2.375262583	2.807928745	2.700385707	3.302166225
AFG3L2	1.01116571	1.662052998	1.744209043	2.665519781
AFM	NA	NA	NA	-5.387165782
AFMID	3.542323976	4.871541199	4.773000848	3.968379694
AFP	7.211270408	0.959920866	0.119492903	5.967081362
AFTPH	1.368714842	1.286436477	1.292427807	1.495648731
AGA	2.934604656	3.709905946	3.571154516	3.556923883
AGAP1	0.899894578	-0.225974228	0.077784673	0.790435176
AGAP2	-2.676013305	-1.749868188	-0.905403933	-2.997393278
AGAP3	0.644355284	0.250735661	0.597349682	1.171268414
AGAP4	-1.809911751	-1.43733518	-1.597399124	-1.091445953
AGAP5	-7.526930291	-4.59077842	-7.265331953	-5.702531713
AGAP6	0.608293853	0.977159841	0.995017124	1.309852677
AGAP9	-0.749412922	-0.498856152	-0.716038648	-0.3418985
AGBL1	NA	-6.26239963	-7.780702959	-5.989252382
AGBL2	-3.382849074	-3.745703323	-4.957392994	-3.937791708
AGBL3	-0.31169431	-0.239682637	-0.31821681	-0.240653904
AGBL4	-0.469259185	-0.027642498	0.179034999	-2.218753086
AGBL5	2.879902981	2.171891674	2.064562607	2.171569655
AGER	-1.045276267	-0.809529525	-0.247436525	-0.108609761
AGFG1	1.658802584	1.749463542	2.048363887	1.790213608
AGFG2	3.131092573	2.821568928	2.819945467	4.835377134
AGGF1	1.290310005	1.632404188	1.626379857	0.819918806
AGK	2.220754354	1.983301993	1.869180082	2.097707631
AGL	1.673101731	1.725286001	1.518688955	2.195765548
AGMAT	-1.298379603	-1.639572453	-1.469282445	-2.282859064
AGMO	-0.283543147	0.703742798	0.599050977	-1.827328582
AGO1	1.839711712	2.183684001	2.301800383	1.999835782
AGO2	2.207428137	2.300744348	2.366710783	2.54723389
AGO3	1.135601613	1.239281173	1.328113548	1.581914422
AGO4	2.473732851	2.602662686	2.466078424	2.505394992
AGPAT1	-1.34597598	-1.848839212	-1.577460405	-1.722563157
AGPAT2	0.317390875	-2.540649988	-1.752769102	-0.529657006
